LOCUS LG POS
dDocent_Contig_58600 10 28.43
dDocent_Contig_132912 10 29.13
dDocent_Contig_730 10 29.18
dDocent_Contig_202990 10 29.83
dDocent_Contig_380663 10 29.83
dDocent_Contig_31830 10 29.83
dDocent_Contig_30830 10 29.83
dDocent_Contig_7919 10 29.83
dDocent_Contig_197543 10 30.09
dDocent_Contig_17440 10 32.05
dDocent_Contig_81708 10 33.01
dDocent_Contig_87371 10 33.65
dDocent_Contig_305597 10 33.97
dDocent_Contig_22362 10 34.7
dDocent_Contig_34059 10 38.51
dDocent_Contig_199619 10 38.8
dDocent_Contig_85444 10 39.76
dDocent_Contig_42799 10 41.67
dDocent_Contig_23570 10 41.67
dDocent_Contig_63516 10 41.67
dDocent_Contig_16582 10 41.67
dDocent_Contig_110926 10 41.67
dDocent_Contig_237447 10 41.67
dDocent_Contig_143724 10 41.67
dDocent_Contig_8327 10 42.01
dDocent_Contig_7007 10 42.01
dDocent_Contig_60550 10 42.01
dDocent_Contig_384966 10 43.17
dDocent_Contig_10154 10 43.17
dDocent_Contig_288155 10 43.17
dDocent_Contig_28007 10 43.17
dDocent_Contig_52753 10 43.17
dDocent_Contig_196865 10 43.17
dDocent_Contig_7198 10 43.17
dDocent_Contig_84428 10 43.17
dDocent_Contig_9744 10 43.17
dDocent_Contig_75804 10 43.17
dDocent_Contig_315075 10 43.17
dDocent_Contig_29055 10 43.17
dDocent_Contig_314714 10 43.17
dDocent_Contig_245776 10 43.17
dDocent_Contig_181069 10 43.17
dDocent_Contig_71199 10 43.17
dDocent_Contig_38574 10 43.17
dDocent_Contig_19718 10 46.75
dDocent_Contig_80211 10 47.33
dDocent_Contig_115544 10 47.33
dDocent_Contig_41408 10 47.33
dDocent_Contig_192305 10 47.33
dDocent_Contig_214291 10 47.33
dDocent_Contig_107875 10 47.33
dDocent_Contig_28251 10 47.33
dDocent_Contig_57170 10 47.33
dDocent_Contig_240699 10 47.33
dDocent_Contig_136160 10 47.33
dDocent_Contig_5837 10 47.33
dDocent_Contig_249952 10 47.71
dDocent_Contig_356616 10 47.71
dDocent_Contig_14429 10 47.71
dDocent_Contig_326304 10 47.71
dDocent_Contig_7283 10 47.71
dDocent_Contig_57603 10 47.78
dDocent_Contig_20037 10 47.78
dDocent_Contig_133980 10 47.78
dDocent_Contig_125461 10 48.1
dDocent_Contig_157649 10 48.1
dDocent_Contig_86623 10 48.74
dDocent_Contig_4428 10 48.74
dDocent_Contig_333548 10 48.74
dDocent_Contig_12233 10 49.06
dDocent_Contig_1968 10 51.01
dDocent_Contig_6004 10 51.04
dDocent_Contig_335365 10 51.49
dDocent_Contig_22455 10 51.61
dDocent_Contig_358491 10 52.13
dDocent_Contig_128759 10 52.13
dDocent_Contig_86520 10 52.13
dDocent_Contig_121970 10 52.13
dDocent_Contig_209495 10 52.13
dDocent_Contig_363947 10 52.13
dDocent_Contig_356069 10 52.13
dDocent_Contig_68700 10 52.17
dDocent_Contig_66164 10 52.64
dDocent_Contig_2982 10 52.64
dDocent_Contig_78059 10 56.03
dDocent_Contig_339791 10 56.32
dDocent_Contig_3538 10 56.74
dDocent_Contig_143868 10 56.74
dDocent_Contig_6178 10 56.74
dDocent_Contig_306534 10 56.74
dDocent_Contig_96441 10 56.74
dDocent_Contig_36018 10 56.74
dDocent_Contig_38092 10 56.74
dDocent_Contig_274586 10 56.74
dDocent_Contig_1533 10 56.74
dDocent_Contig_82292 10 56.74
dDocent_Contig_98695 10 56.74
dDocent_Contig_380845 10 56.74
dDocent_Contig_12441 10 56.74
dDocent_Contig_208099 10 56.74
dDocent_Contig_73569 10 57.55
dDocent_Contig_99272 10 57.68
dDocent_Contig_9303 10 57.81
dDocent_Contig_6716 10 57.81
dDocent_Contig_332250 10 57.81
dDocent_Contig_135721 10 57.81
dDocent_Contig_61319 10 57.81
dDocent_Contig_70596 10 57.81
dDocent_Contig_9590 10 57.81
dDocent_Contig_68045 10 57.81
dDocent_Contig_17449 10 59.44
dDocent_Contig_9603 10 70.89
dDocent_Contig_11926 10 70.89
dDocent_Contig_3662 10 73.89
dDocent_Contig_29213 10 76.33
dDocent_Contig_32999 10 76.92
dDocent_Contig_49655 10 83.84
dDocent_Contig_83367 10 84.21
dDocent_Contig_16563 10 84.21
dDocent_Contig_65822 10 84.21
dDocent_Contig_157236 10 92.15
dDocent_Contig_3407 10 100.38
dDocent_Contig_183613 11 0
dDocent_Contig_3588 11 0
dDocent_Contig_342606 11 0.339999999999999
dDocent_Contig_29616 11 1.7
dDocent_Contig_32622 11 5.54
dDocent_Contig_66352 11 6.44
dDocent_Contig_112677 11 6.89
dDocent_Contig_10286 11 8.06
dDocent_Contig_56667 11 17.39
dDocent_Contig_103327 11 24.55
dDocent_Contig_324433 11 24.55
dDocent_Contig_85534 11 24.55
dDocent_Contig_22755 11 24.55
dDocent_Contig_384346 11 24.55
dDocent_Contig_49437 11 24.55
dDocent_Contig_116062 11 24.55
dDocent_Contig_8819 11 24.55
dDocent_Contig_4312 11 24.55
dDocent_Contig_20949 11 29.73
dDocent_Contig_64257 11 29.73
dDocent_Contig_40834 11 29.73
dDocent_Contig_55140 11 29.73
dDocent_Contig_156624 11 29.73
dDocent_Contig_93987 11 29.73
dDocent_Contig_236463 11 29.73
dDocent_Contig_62061 11 30.01
dDocent_Contig_17413 11 30.01
dDocent_Contig_140986 11 30.01
dDocent_Contig_398347 11 30.16
dDocent_Contig_145912 11 31.3
dDocent_Contig_248473 11 31.3
dDocent_Contig_72703 11 31.3
dDocent_Contig_13498 11 31.3
dDocent_Contig_20683 11 31.3
dDocent_Contig_167104 11 31.3
dDocent_Contig_517 11 31.3
dDocent_Contig_19422 11 31.3
dDocent_Contig_101640 11 31.3
dDocent_Contig_140479 11 31.3
dDocent_Contig_4899 11 31.3
dDocent_Contig_63791 11 31.3
dDocent_Contig_101801 11 31.3
dDocent_Contig_8127 11 31.3
dDocent_Contig_2634 11 31.3
dDocent_Contig_244551 11 31.3
dDocent_Contig_27419 11 31.3
dDocent_Contig_223192 11 31.3
dDocent_Contig_120494 11 31.3
dDocent_Contig_41507 11 31.3
dDocent_Contig_28238 11 31.3
dDocent_Contig_95424 11 31.3
dDocent_Contig_31162 11 37.63
dDocent_Contig_212609 11 39.3
dDocent_Contig_59426 11 40.47
dDocent_Contig_39877 11 40.91
dDocent_Contig_312243 11 40.91
dDocent_Contig_330642 11 41.35
dDocent_Contig_321558 11 41.67
dDocent_Contig_53811 11 41.92
dDocent_Contig_31259 11 41.99
dDocent_Contig_326037 11 42.5
dDocent_Contig_19143 11 42.79
dDocent_Contig_11296 11 42.79
dDocent_Contig_275603 11 42.95
dDocent_Contig_1964 11 43.36
dDocent_Contig_22381 11 43.36
dDocent_Contig_2373 11 43.36
dDocent_Contig_18927 11 45.17
dDocent_Contig_180 11 45.85
dDocent_Contig_263392 11 45.85
dDocent_Contig_333677 11 46.6
dDocent_Contig_125297 11 46.9
dDocent_Contig_146256 11 47.77
dDocent_Contig_19302 11 48.94
dDocent_Contig_199437 11 48.94
dDocent_Contig_340991 11 49.92
dDocent_Contig_28438 11 51.34
dDocent_Contig_126738 11 52.18
dDocent_Contig_224207 11 52.81
dDocent_Contig_80409 11 54.34
dDocent_Contig_52970 11 55.4
dDocent_Contig_52 11 55.4
dDocent_Contig_1176 11 55.4
dDocent_Contig_24250 11 55.69
dDocent_Contig_369547 11 56.27
dDocent_Contig_258643 11 57.73
dDocent_Contig_10383 11 58.49
dDocent_Contig_42416 11 58.49
dDocent_Contig_2785 11 58.49
dDocent_Contig_204258 11 58.49
dDocent_Contig_58669 11 59.05
dDocent_Contig_280097 11 59.05
dDocent_Contig_17736 11 61.02
dDocent_Contig_132905 11 61.27
dDocent_Contig_137541 11 62.14
dDocent_Contig_367430 11 62.14
dDocent_Contig_394181 11 63.31
dDocent_Contig_144660 11 63.31
dDocent_Contig_26765 11 63.39
dDocent_Contig_11941 11 64.03
dDocent_Contig_380288 11 64.4
dDocent_Contig_61318 11 64.4
dDocent_Contig_13617 11 65.06
dDocent_Contig_6560 11 68.33
dDocent_Contig_42205 11 68.33
dDocent_Contig_15573 11 68.33
dDocent_Contig_24774 11 68.33
dDocent_Contig_2597 11 68.33
dDocent_Contig_5587 11 70.32
dDocent_Contig_6477 11 73.02
dDocent_Contig_252651 11 73.43
dDocent_Contig_31919 11 74.48
dDocent_Contig_106000 11 74.48
dDocent_Contig_109945 11 76.12
dDocent_Contig_4522 11 77.51
dDocent_Contig_10430 11 77.51
dDocent_Contig_13137 11 77.51
dDocent_Contig_88685 11 77.51
dDocent_Contig_97579 11 77.51
dDocent_Contig_266400 11 78.19
dDocent_Contig_25003 11 79.06
dDocent_Contig_28561 11 81.42
dDocent_Contig_30406 11 81.42
dDocent_Contig_13449 11 82.29
dDocent_Contig_396176 11 82.58
dDocent_Contig_123765 11 82.58
dDocent_Contig_40313 11 82.58
dDocent_Contig_101442 11 84.46
dDocent_Contig_114253 11 84.46
dDocent_Contig_126674 11 84.46
dDocent_Contig_5720 11 84.46
dDocent_Contig_12726 11 84.46
dDocent_Contig_9989 11 84.46
dDocent_Contig_78321 11 84.46
dDocent_Contig_33552 11 84.46
dDocent_Contig_39029 11 84.46
dDocent_Contig_55522 11 84.46
dDocent_Contig_149720 11 84.46
dDocent_Contig_26484 11 84.46
dDocent_Contig_36948 11 84.46
dDocent_Contig_215355 11 84.46
dDocent_Contig_34674 11 84.6
dDocent_Contig_352053 11 85.76
dDocent_Contig_37128 11 85.84
dDocent_Contig_126019 11 93.03
dDocent_Contig_32210 11 95.24
dDocent_Contig_8540 11 95.24
dDocent_Contig_326075 12 0
dDocent_Contig_204687 12 0.820000000000007
dDocent_Contig_5988 12 0.820000000000007
dDocent_Contig_39959 12 1.02
dDocent_Contig_18848 12 4.75000000000001
dDocent_Contig_33993 12 5.46000000000001
dDocent_Contig_17882 12 5.46000000000001
dDocent_Contig_21342 12 8.34000000000001
dDocent_Contig_13043 12 8.34000000000001
dDocent_Contig_279710 12 8.98000000000001
dDocent_Contig_307589 12 9.12000000000001
dDocent_Contig_172925 12 9.12000000000001
dDocent_Contig_322157 12 9.12000000000001
dDocent_Contig_101087 12 9.12000000000001
dDocent_Contig_102406 12 9.12000000000001
dDocent_Contig_235337 12 9.12000000000001
dDocent_Contig_28801 12 9.12000000000001
dDocent_Contig_32522 12 9.12000000000001
dDocent_Contig_1897 12 9.12000000000001
dDocent_Contig_6590 12 9.12000000000001
dDocent_Contig_67724 12 9.12000000000001
dDocent_Contig_144097 12 9.12000000000001
dDocent_Contig_7027 12 9.12000000000001
dDocent_Contig_1574 12 9.12000000000001
dDocent_Contig_463 12 9.12000000000001
dDocent_Contig_266305 12 9.12000000000001
dDocent_Contig_143482 12 9.12000000000001
dDocent_Contig_88873 12 9.12000000000001
dDocent_Contig_651 12 9.12000000000001
dDocent_Contig_57444 12 9.12000000000001
dDocent_Contig_7795 12 9.12000000000001
dDocent_Contig_154408 12 9.12000000000001
dDocent_Contig_46447 12 10.59
dDocent_Contig_19759 12 11.07
dDocent_Contig_111455 12 11.55
dDocent_Contig_7040 12 11.76
dDocent_Contig_16852 12 12.34
dDocent_Contig_2393 12 12.52
dDocent_Contig_95435 12 18.17
dDocent_Contig_48356 12 18.17
dDocent_Contig_51033 12 18.33
dDocent_Contig_97115 12 18.33
dDocent_Contig_164687 12 18.48
dDocent_Contig_65968 12 18.48
dDocent_Contig_11280 12 18.48
dDocent_Contig_56290 12 18.48
dDocent_Contig_23083 12 18.48
dDocent_Contig_109437 12 18.48
dDocent_Contig_62 12 18.48
dDocent_Contig_52162 12 18.48
dDocent_Contig_11578 12 18.48
dDocent_Contig_238996 12 18.48
dDocent_Contig_55516 12 18.48
dDocent_Contig_4135 12 18.48
dDocent_Contig_22268 12 18.48
dDocent_Contig_4687 12 18.48
dDocent_Contig_158022 12 18.48
dDocent_Contig_19111 12 18.48
dDocent_Contig_14211 12 18.48
dDocent_Contig_168364 12 18.48
dDocent_Contig_33316 12 18.48
dDocent_Contig_358712 12 18.48
dDocent_Contig_128208 12 18.48
dDocent_Contig_228023 12 21.35
dDocent_Contig_319646 12 24.52
dDocent_Contig_37660 12 24.52
dDocent_Contig_274674 12 24.52
dDocent_Contig_320578 12 24.52
dDocent_Contig_2268 12 24.52
dDocent_Contig_12343 12 24.52
dDocent_Contig_2275 12 24.52
dDocent_Contig_38328 12 24.52
dDocent_Contig_66871 12 26.14
dDocent_Contig_139762 12 26.14
dDocent_Contig_370902 12 26.14
dDocent_Contig_92949 12 27.34
dDocent_Contig_352327 12 27.63
dDocent_Contig_87617 12 28.39
dDocent_Contig_68388 12 29.03
dDocent_Contig_15840 12 29.03
dDocent_Contig_34680 12 29.68
dDocent_Contig_35436 12 30.32
dDocent_Contig_6914 12 30.32
dDocent_Contig_49867 12 31.29
dDocent_Contig_32216 12 31.29
dDocent_Contig_293474 12 32.9
dDocent_Contig_15153 12 33.87
dDocent_Contig_195472 12 33.87
dDocent_Contig_7987 12 35.49
dDocent_Contig_86268 12 36.76
dDocent_Contig_39676 12 37.11
dDocent_Contig_303763 12 37.11
dDocent_Contig_69240 12 38.22
dDocent_Contig_1291 12 38.86
dDocent_Contig_339848 12 38.86
dDocent_Contig_31111 12 39.06
dDocent_Contig_53428 12 39.06
dDocent_Contig_117373 12 39.06
dDocent_Contig_371261 12 39.61
dDocent_Contig_18304 12 39.92
dDocent_Contig_5819 12 39.92
dDocent_Contig_7928 12 43.19
dDocent_Contig_9130 12 43.19
dDocent_Contig_201222 12 43.19
dDocent_Contig_12514 12 43.19
dDocent_Contig_56538 12 43.19
dDocent_Contig_32568 12 43.19
dDocent_Contig_4919 12 43.19
dDocent_Contig_44713 12 43.19
dDocent_Contig_3398 12 43.19
dDocent_Contig_49041 12 43.19
dDocent_Contig_311739 12 45.29
dDocent_Contig_8169 12 45.29
dDocent_Contig_4064 12 45.29
dDocent_Contig_356691 12 45.29
dDocent_Contig_18164 12 46.85
dDocent_Contig_10881 12 50.89
dDocent_Contig_146193 12 50.89
dDocent_Contig_112195 12 50.89
dDocent_Contig_24578 12 50.89
dDocent_Contig_5242 12 50.89
dDocent_Contig_172657 12 51.8
dDocent_Contig_76890 12 51.8
dDocent_Contig_85295 12 54.64
dDocent_Contig_17439 12 55.03
dDocent_Contig_61661 12 56.59
dDocent_Contig_13842 12 56.92
dDocent_Contig_19123 12 57.23
dDocent_Contig_83043 12 57.95
dDocent_Contig_161242 12 59.07
dDocent_Contig_6740 12 59.07
dDocent_Contig_366527 12 59.07
dDocent_Contig_47619 12 59.07
dDocent_Contig_16298 12 59.07
dDocent_Contig_65613 12 59.07
dDocent_Contig_66465 12 59.07
dDocent_Contig_38071 12 59.25
dDocent_Contig_77555 12 60.21
dDocent_Contig_11681 12 60.74
dDocent_Contig_28819 12 60.74
dDocent_Contig_34189 12 60.74
dDocent_Contig_104202 12 60.74
dDocent_Contig_56892 12 60.74
dDocent_Contig_23004 12 60.74
dDocent_Contig_38631 12 60.74
dDocent_Contig_52743 12 60.74
dDocent_Contig_29138 12 63.42
dDocent_Contig_117908 12 63.77
dDocent_Contig_8966 12 65.06
dDocent_Contig_165900 12 65.16
dDocent_Contig_322 12 65.16
dDocent_Contig_183753 12 65.51
dDocent_Contig_2151 12 66.9
dDocent_Contig_12156 12 66.9
dDocent_Contig_331676 12 67.93
dDocent_Contig_256241 12 68.98
dDocent_Contig_10018 12 69.23
dDocent_Contig_16360 12 69.23
dDocent_Contig_197038 12 69.25
dDocent_Contig_38654 12 69.25
dDocent_Contig_90638 12 69.62
dDocent_Contig_12373 12 69.78
dDocent_Contig_178549 12 69.94
dDocent_Contig_1155 12 70.33
dDocent_Contig_16249 12 71.71
dDocent_Contig_34792 12 72.82
dDocent_Contig_1577 12 73.17
dDocent_Contig_396202 12 73.17
dDocent_Contig_201792 12 73.17
dDocent_Contig_256167 12 73.17
dDocent_Contig_66356 12 73.17
dDocent_Contig_49431 12 74.13
dDocent_Contig_147380 12 74.56
dDocent_Contig_3323 12 75.41
dDocent_Contig_200617 12 75.41
dDocent_Contig_166075 12 75.41
dDocent_Contig_321056 12 75.42
dDocent_Contig_123426 12 75.42
dDocent_Contig_46775 12 75.43
dDocent_Contig_112837 12 76.06
dDocent_Contig_9 12 76.38
dDocent_Contig_46589 12 76.38
dDocent_Contig_23860 12 76.38
dDocent_Contig_21235 12 77.79
dDocent_Contig_68004 12 77.79
dDocent_Contig_47941 12 80.15
dDocent_Contig_327586 12 82.77
dDocent_Contig_159219 12 101.01
dDocent_Contig_68563 13 0
dDocent_Contig_2920 13 3.31
dDocent_Contig_267640 13 3.62
dDocent_Contig_242834 13 31.49
dDocent_Contig_42371 13 32.07
dDocent_Contig_17281 13 48.39
dDocent_Contig_6473 13 58.36
dDocent_Contig_76686 13 58.36
dDocent_Contig_113893 13 58.67
dDocent_Contig_261619 13 58.67
dDocent_Contig_17771 13 58.83
dDocent_Contig_45537 13 58.83
dDocent_Contig_35440 13 58.83
dDocent_Contig_42789 13 63.63
dDocent_Contig_176482 13 64.21
dDocent_Contig_106405 13 64.54
dDocent_Contig_30404 13 65.03
dDocent_Contig_224986 13 66.09
dDocent_Contig_124000 13 66.09
dDocent_Contig_1884 13 66.11
dDocent_Contig_124590 13 66.19
dDocent_Contig_6864 13 66.19
dDocent_Contig_263524 13 66.24
dDocent_Contig_20019 13 66.53
dDocent_Contig_3406 13 66.64
dDocent_Contig_306330 13 66.64
dDocent_Contig_361265 13 66.74
dDocent_Contig_3891 13 66.85
dDocent_Contig_1637 13 66.89
dDocent_Contig_18050 13 66.96
dDocent_Contig_9761 13 66.96
dDocent_Contig_140685 13 66.96
dDocent_Contig_55735 13 66.96
dDocent_Contig_144370 13 67.17
dDocent_Contig_22460 13 67.23
dDocent_Contig_52542 13 67.42
dDocent_Contig_123246 13 67.81
dDocent_Contig_200224 13 67.81
dDocent_Contig_13931 13 67.81
dDocent_Contig_8508 13 67.81
dDocent_Contig_39587 13 67.81
dDocent_Contig_226254 13 67.81
dDocent_Contig_263885 13 67.81
dDocent_Contig_146993 13 67.81
dDocent_Contig_123370 13 67.81
dDocent_Contig_1622 13 67.81
dDocent_Contig_15664 13 67.81
dDocent_Contig_117913 13 67.81
dDocent_Contig_45279 13 67.81
dDocent_Contig_8174 13 67.81
dDocent_Contig_86242 13 67.81
dDocent_Contig_53617 13 67.81
dDocent_Contig_48412 13 67.81
dDocent_Contig_8173 13 67.81
dDocent_Contig_42202 13 67.81
dDocent_Contig_2193 13 67.81
dDocent_Contig_36702 13 67.81
dDocent_Contig_189819 13 67.81
dDocent_Contig_17973 13 67.81
dDocent_Contig_19091 13 67.81
dDocent_Contig_107441 13 67.81
dDocent_Contig_80114 13 67.81
dDocent_Contig_176664 13 67.81
dDocent_Contig_267706 13 67.81
dDocent_Contig_28891 13 67.81
dDocent_Contig_63373 13 67.81
dDocent_Contig_62600 13 68.1
dDocent_Contig_164099 13 68.54
dDocent_Contig_335990 13 68.68
dDocent_Contig_244722 13 68.79
dDocent_Contig_182413 13 68.83
dDocent_Contig_291844 13 68.83
dDocent_Contig_224783 13 68.83
dDocent_Contig_24677 13 68.83
dDocent_Contig_238170 13 68.95
dDocent_Contig_36882 13 69.27
dDocent_Contig_100682 13 69.27
dDocent_Contig_66601 13 69.27
dDocent_Contig_16173 13 70
dDocent_Contig_16787 13 70.85
dDocent_Contig_1101 13 71.17
dDocent_Contig_114576 13 71.17
dDocent_Contig_56197 13 71.17
dDocent_Contig_286498 13 71.17
dDocent_Contig_145685 13 71.17
dDocent_Contig_62735 13 71.71
dDocent_Contig_33115 13 72.22
dDocent_Contig_1489 13 72.22
dDocent_Contig_22103 13 72.22
