COMP_SPECIES	START_LOCUS	END_LOCUS	NUM_LOCI	COMP_CHR	COMP_START	COMP_END	COMP_SIZE	MAP_LG	MAP_START	MAP_STOP	MAP_SIZE	MEAN_DIST_LOCI	
onil	dDocent_Contig_339791	dDocent_Contig_68700	2	9	6110965	6987650	876685	8	22.73	22.73	0	438343	
dlab	dDocent_Contig_66767	dDocent_Contig_16570	2	20	19227862	20065650	837788	6	66.27	66.27	0	418894	
dlab	dDocent_Contig_339791	dDocent_Contig_68700	2	18-21	4144837	4968222	823385	8	22.73	22.73	0	411693	
trub	dDocent_Contig_4533	dDocent_Contig_29128	2	18	5255688	6056517	800829	18	35.19	35.19	0	400415	
gacu	dDocent_Contig_117373	dDocent_Contig_1291	3	17	5492230	6282022	789792	1	30.97	30.97	0	263264	
dlab	dDocent_Contig_79351	dDocent_Contig_61319	2	18-21	400271	1188443	788172	8	15.92	15.92	0	394086	
dlab	dDocent_Contig_37096	dDocent_Contig_17862	3	22-25	17977218	18737713	760495	23	44.58	44.58	0	253498	
gacu	dDocent_Contig_339791	dDocent_Contig_68700	2	21	4069044	4814238	745194	8	22.73	22.73	0	372597	
lcal	dDocent_Contig_61319	dDocent_Contig_79351	2	24	2553089	3266277	713188	8	15.92	15.92	0	356594	
lcal	dDocent_Contig_65968	dDocent_Contig_62	3	12	16359580	17054683	695103	1	14.56	14.56	0	231701	
lcal	dDocent_Contig_25692	dDocent_Contig_20895	3	21	13480728	14154053	673325	3	8.91	8.91	0	224442	
dlab	dDocent_Contig_25692	dDocent_Contig_20895	3	13	18591341	19264202	672861	3	8.91	8.91	0	224287	
onil	dDocent_Contig_1533	dDocent_Contig_274586	2	9	3651796	4315288	663492	8	19.66	19.66	0	331746	
onil	dDocent_Contig_406	dDocent_Contig_61920	2	7	30700087	31342797	642710	14	37.12	37.12	0	321355	
lcal	dDocent_Contig_14391	dDocent_Contig_96847	2	7_1	18686860	19313931	627071	11	9.92	9.92	0	313536	
dlab	dDocent_Contig_53181	dDocent_Contig_56126	2	9	21290086	21915120	625034	22	59.13	59.13	0	312517	
trub	dDocent_Contig_68700	dDocent_Contig_339791	2	10	2794952	3413113	618161	8	22.73	22.73	0	309081	
lcal	dDocent_Contig_17057	dDocent_Contig_189129	2	23	14734769	15333770	599001	15	9.27	9.27	0	299501	
trub	dDocent_Contig_121559	dDocent_Contig_288916	2	13	13469743	14054298	584555	20	37.13	37.13	0	292278	
lcal	dDocent_Contig_17365	dDocent_Contig_304969	2	23	1274542	1853865	579323	15	58.76	58.76	0	289662	
gacu	dDocent_Contig_17862	dDocent_Contig_37096	3	12	6283782	6853779	569997	23	44.58	44.58	0	189999	
dlab	dDocent_Contig_136639	dDocent_Contig_304969	2	1B	314383	884142	569759	15	58.76	58.76	0	284880	
dlab	dDocent_Contig_24578	dDocent_Contig_10881	3	1A	21152993	21683625	530632	1	39.79	39.79	0	176877	
lcal	dDocent_Contig_8373	dDocent_Contig_78213	2	7_1	5215464	5744024	528560	11	45.77	45.77	0	264280	
dlab	dDocent_Contig_331846	dDocent_Contig_88211	3	8	9725997	10252198	526201	19	22.55	22.55	0	175400	
onil	dDocent_Contig_138223	dDocent_Contig_3405	2	23	1213845	1739953	526108	21	53.02	53.02	0	263054	
gacu	dDocent_Contig_25692	dDocent_Contig_20895	3	1	10088185	10613960	525775	3	8.91	8.91	0	175258	
gacu	dDocent_Contig_154408	dDocent_Contig_7795	3	17	10031187	10551051	519864	1	13.88	13.88	0	173288	
onil	dDocent_Contig_120494	dDocent_Contig_28238	2	10	8015718	8528556	512838	9	28.97	28.97	0	256419	
onil	dDocent_Contig_288916	dDocent_Contig_52549	2	1	9429824	9938452	508628	20	37.13	37.13	0	254314	
dlab	dDocent_Contig_25548	dDocent_Contig_189298	2	16	9511035	10012406	501371	16	31.06	31.06	0	250686	
lcal	dDocent_Contig_5447	dDocent_Contig_69880	2	1	1378676	1863672	484996	13	62.77	62.77	0	242498	
gacu	dDocent_Contig_62766	dDocent_Contig_27344	2	12	9586473	10069132	482659	23	35.77	35.77	0	241330	
dlab	dDocent_Contig_406	dDocent_Contig_61920	2	19	21991226	22473828	482602	14	37.12	37.12	0	241301	
lcal	dDocent_Contig_269535	dDocent_Contig_15918	2	2	28637058	29119153	482095	20	31.26	31.26	0	241048	
lcal	dDocent_Contig_157649	dDocent_Contig_133980	5	24	10755845	11103710	480128	8	33.78	33.78	0	96026	
tnig	dDocent_Contig_5819	dDocent_Contig_371261	2	11	4236472	4716161	479689	1	30.97	30.97	0	239845	
onil	dDocent_Contig_204278	dDocent_Contig_1512	2	11	14229167	14704739	475572	16	13.27	13.27	0	237786	
lcal	dDocent_Contig_5435	dDocent_Contig_79800	4	10	9993261	10352101	467219	24	27.75	27.75	0	116805	
onil	dDocent_Contig_23004	dDocent_Contig_52743	4	5	20968854	21213032	449381	1	47.61	47.61	0	112345	
lcal	dDocent_Contig_204278	dDocent_Contig_1512	3	15	27872346	28308649	436303	16	13.27	13.27	0	145434	
lcal	dDocent_Contig_163160	dDocent_Contig_265782	3	18	1611588	2012376	400788	18	33.44	33.44	0	133596	
lcal	dDocent_Contig_61920	dDocent_Contig_406	2	9	2746236	3146102	399866	14	37.12	37.12	0	199933	
lcal	dDocent_Contig_30483	dDocent_Contig_27437	2	4	11496924	11890614	393690	10	35.39	35.39	0	196845	
trub	dDocent_Contig_274586	dDocent_Contig_1533	2	10	959399	1352289	392890	8	19.66	19.66	0	196445	
lcal	dDocent_Contig_8520	dDocent_Contig_19815	3	13	16699963	16964108	380022	6	17.47	17.47	0	126674	
lcal	dDocent_Contig_19428	dDocent_Contig_25110	4	10	9638774	10018527	379753	24	28.43	28.43	0	94938	
lcal	dDocent_Contig_193448	dDocent_Contig_2643	2	13	3273231	3651768	378537	6	50.31	50.31	0	189269	
lcal	dDocent_Contig_83882	dDocent_Contig_57682	2	15	28674378	29049572	375194	16	7.96	7.96	0	187597	
tnig	dDocent_Contig_57444	dDocent_Contig_143482	4	11	9908738	10283694	374956	1	13.88	13.88	0	93739	
lcal	dDocent_Contig_51099	dDocent_Contig_394960	2	4	8776418	9143797	367379	10	43.81	43.81	0	183690	
gacu	dDocent_Contig_15918	dDocent_Contig_269535	2	2	11617768	11984222	366454	20	31.26	31.26	0	183227	
dlab	dDocent_Contig_7007	dDocent_Contig_8327	3	18-21	7596992	7945212	359212	8	36.52	36.52	0	119737	
lcal	dDocent_Contig_1291	dDocent_Contig_339848	2	20	2035059	2393686	358627	1	30.97	30.97	0	179314	
dlab	dDocent_Contig_83882	dDocent_Contig_57682	2	16	18594256	18952805	358549	16	7.96	7.96	0	179275	
trub	dDocent_Contig_28819	dDocent_Contig_52743	2	19	699044	1054428	355384	1	47.61	47.61	0	177692	
trub	dDocent_Contig_252480	dDocent_Contig_84428	2	10	1692594	2042795	350201	8	31.31	31.31	0	175101	
onil	dDocent_Contig_9237	dDocent_Contig_40650	3	11	32894985	32993835	346488	16	58.84	58.84	0	115496	
trub	dDocent_Contig_95996	dDocent_Contig_86305	2	13	16518687	16861028	342341	20	30.33	30.33	0	171171	
gacu	dDocent_Contig_61920	dDocent_Contig_406	2	14	10377317	10708325	331008	14	37.12	37.12	0	165504	
lcal	dDocent_Contig_77372	dDocent_Contig_134526	2	17	26770679	27092828	322149	12	45.05	45.05	0	161075	
tnig	dDocent_Contig_28238	dDocent_Contig_120494	2	7	5822382	6135349	312967	9	28.97	28.97	0	156484	
gacu	dDocent_Contig_52743	dDocent_Contig_28819	4	17	2002852	2313344	310492	1	47.61	47.61	0	77623	
gacu	dDocent_Contig_57682	dDocent_Contig_83882	2	20	3905968	4207177	301209	16	7.96	7.96	0	150605	
onil	dDocent_Contig_14506	dDocent_Contig_172611	2	18	11488689	11787904	299215	10	34.61	34.61	0	149608	
dlab	dDocent_Contig_10808	dDocent_Contig_46295	2	24	8760112	9052061	291949	21	26.62	26.62	0	145975	
lcal	dDocent_Contig_9113	dDocent_Contig_16230	2	16-22	9983326	10273444	290118	2	33.22	33.22	0	145059	
dlab	dDocent_Contig_14506	dDocent_Contig_172611	2	10	13041186	13313511	272325	10	34.61	34.61	0	136163	
dlab	dDocent_Contig_123246	dDocent_Contig_8508	2	12	2066135	2335602	269467	7	0	0	0	134734	
lcal	dDocent_Contig_172611	dDocent_Contig_14506	2	4	11921922	12188973	267051	10	34.61	34.61	0	133526	
onil	dDocent_Contig_385543	dDocent_Contig_12068	2	17	20669551	20935719	266168	18	71.39	71.39	0	133084	
tnig	dDocent_Contig_10459	dDocent_Contig_30539	2	14	8460231	8721249	261018	11	16.59	16.59	0	130509	
dlab	dDocent_Contig_134526	dDocent_Contig_77372	2	4	226289	486718	260429	12	45.05	45.05	0	130215	
onil	dDocent_Contig_32458	dDocent_Contig_4533	2	17	22349358	22598522	249164	18	35.19	35.19	0	124582	
dlab	dDocent_Contig_81453	dDocent_Contig_4468	3	5	9920704	10166880	246176	20	28.17	28.17	0	82059	
dlab	dDocent_Contig_390204	dDocent_Contig_120683	5	10	11567309	11690513	242917	10	35.39	35.39	0	48583	
lcal	dDocent_Contig_1580	dDocent_Contig_78148	3	15	5391222	5633777	242555	16	68.23	68.23	0	80852	
trub	dDocent_Contig_7795	dDocent_Contig_651	3	19	12560848	12689370	241354	1	13.88	13.88	0	80451	
dlab	dDocent_Contig_52936	dDocent_Contig_3831	3	2	3636483	3875805	239322	5	33.66	33.66	0	79774	
gacu	dDocent_Contig_172611	dDocent_Contig_14506	2	3	1001667	1235119	233452	10	34.61	34.61	0	116726	
dlab	dDocent_Contig_62	dDocent_Contig_23083	2	1A	10855900	10626520	229380	1	14.56	14.56	0	114690	
lcal	dDocent_Contig_51425	dDocent_Contig_73753	4	4	13359000	13498402	228894	10	35.39	35.39	0	57224	
lcal	dDocent_Contig_233714	dDocent_Contig_4468	3	2	25924651	26087939	226943	20	28.17	28.17	0	75648	
onil	dDocent_Contig_101801	dDocent_Contig_4899	2	10	6937091	7162097	225006	9	18.42	18.42	0	112503	
lcal	dDocent_Contig_47122	dDocent_Contig_131719	2	10	3624455	3847577	223122	24	49.15	49.15	0	111561	
gacu	dDocent_Contig_62	dDocent_Contig_23083	2	17	8449705	8665823	216118	1	14.56	14.56	0	108059	
lcal	dDocent_Contig_4533	dDocent_Contig_32458	2	18	6099790	6306738	206948	18	35.19	35.19	0	103474	
trub	dDocent_Contig_2202	dDocent_Contig_37096	2	3	3334173	3540914	206741	23	44.58	44.58	0	103371	
dlab	dDocent_Contig_12068	dDocent_Contig_385543	2	x	11728876	11930174	201298	18	71.39	71.39	0	100649	
onil	dDocent_Contig_83538	dDocent_Contig_202930	2	11	476555	675975	199420	16	24.31	24.31	0	99710	
tnig	dDocent_Contig_70736	dDocent_Contig_118656	4	13	1092023	1289843	197820	24	0	0	0	49455	
tnig	dDocent_Contig_14506	dDocent_Contig_172611	2	15	6544849	6741424	196575	10	34.61	34.61	0	98288	
lcal	dDocent_Contig_12068	dDocent_Contig_385543	2	18	7484849	7681202	196353	18	71.39	71.39	0	98177	
onil	dDocent_Contig_29713	dDocent_Contig_21587	2	23	8013166	8208482	195316	12	10.41	10.41	0	97658	
onil	dDocent_Contig_8855	dDocent_Contig_319453	2	8	25483729	25678503	194774	15	2.67	2.67	0	97387	
lcal	dDocent_Contig_395704	dDocent_Contig_312955	2	13	5186004	5376630	190626	6	44.9	44.9	0	95313	
lcal	dDocent_Contig_4899	dDocent_Contig_101801	2	20	9323028	9509008	185980	9	18.42	18.42	0	92990	
onil	dDocent_Contig_27826	dDocent_Contig_13457	2	22	10820190	10998346	178156	22	59.13	59.13	0	89078	
lcal	dDocent_Contig_25956	dDocent_Contig_13506	2	13	3805601	3978353	172752	6	47.61	47.61	0	86376	
dlab	dDocent_Contig_13457	dDocent_Contig_27826	2	9	15046225	15215660	169435	22	59.13	59.13	0	84718	
dlab	dDocent_Contig_333548	dDocent_Contig_4428	3	18-21	8099088	8247688	168838	8	33.78	33.78	0	56279	
lcal	dDocent_Contig_319453	dDocent_Contig_8855	2	23	15819325	15986854	167529	15	2.67	2.67	0	83765	
onil	dDocent_Contig_245394	dDocent_Contig_265782	2	17	25833417	25667761	165656	18	33.44	33.44	0	82828	
dlab	dDocent_Contig_319453	dDocent_Contig_8855	2	1B	15463277	15628742	165465	15	2.67	2.67	0	82733	
lcal	dDocent_Contig_4428	dDocent_Contig_86623	3	24	11569709	11406550	163159	8	33.78	33.78	0	54386	
trub	dDocent_Contig_81453	dDocent_Contig_4468	3	13	4643997	4805861	161864	20	28.17	28.17	0	53955	
lcal	dDocent_Contig_145912	dDocent_Contig_112677	2	20	5729740	5890622	160882	9	10.33	10.33	0	80441	
lcal	dDocent_Contig_104270	dDocent_Contig_221136	2	8	23931947	24091465	159518	5	58.67	58.67	0	79759	
lcal	dDocent_Contig_29713	dDocent_Contig_21587	2	17	4516681	4671353	154672	12	10.41	10.41	0	77336	
gacu	dDocent_Contig_143482	dDocent_Contig_651	2	17	14285427	14438738	153311	1	13.88	13.88	0	76656	
lcal	dDocent_Contig_13457	dDocent_Contig_27826	2	3	12818310	12971349	153039	22	59.13	59.13	0	76520	
lcal	dDocent_Contig_10881	dDocent_Contig_112195	2	12	27080069	26927528	152541	1	39.79	39.79	0	76271	
dlab	dDocent_Contig_3903	dDocent_Contig_14981	2	24	6659449	6808342	148893	21	47.4	47.4	0	74447	
gacu	dDocent_Contig_12068	dDocent_Contig_385543	2	4	30070346	30213906	143560	18	71.39	71.39	0	71780	
lcal	dDocent_Contig_14167	dDocent_Contig_21978	2	18	15928587	16070403	141816	18	5.67	5.67	0	70908	
tnig	dDocent_Contig_29713	dDocent_Contig_21587	2	1	10570869	10708263	137394	12	10.41	10.41	0	68697	
onil	dDocent_Contig_25692	dDocent_Contig_8598	2	14	18545078	18409500	135578	3	8.91	8.91	0	67789	
onil	dDocent_Contig_30404	dDocent_Contig_8174	2	19	1502897	1637341	134444	7	13.9	13.9	0	67222	
trub	dDocent_Contig_23083	dDocent_Contig_62	2	19	10517172	10649594	132422	1	14.56	14.56	0	66211	
lcal	dDocent_Contig_35914	dDocent_Contig_55599	2	3	20477018	20608309	131291	22	59.16	59.16	0	65646	
gacu	dDocent_Contig_13457	dDocent_Contig_27826	2	10	5396947	5528093	131146	22	59.13	59.13	0	65573	
tnig	dDocent_Contig_32458	dDocent_Contig_4533	2	19	3300681	3431757	131076	18	35.19	35.19	0	65538	
lcal	dDocent_Contig_650	dDocent_Contig_113263	2	10	12417814	12291938	125876	24	22.03	22.03	0	62938	
dlab	dDocent_Contig_188751	dDocent_Contig_44545	2	22-25	10878496	11003162	124666	23	30.2	30.2	0	62333	
gacu	dDocent_Contig_51425	dDocent_Contig_73753	2	3	2183491	2308059	124568	10	35.39	35.39	0	62284	
dlab	dDocent_Contig_115567	dDocent_Contig_379939	2	3	3857343	3980176	122833	17	4.03	4.03	0	61417	
tnig	dDocent_Contig_385543	dDocent_Contig_12068	2	19	2493517	2616016	122499	18	71.39	71.39	0	61250	
tnig	dDocent_Contig_62	dDocent_Contig_23083	2	11	1640140	1762401	122261	1	14.56	14.56	0	61131	
dlab	dDocent_Contig_28930	dDocent_Contig_2152	4	2	11107796	11168494	119895	5	18.35	18.35	0	29974	
lcal	dDocent_Contig_138223	dDocent_Contig_3405	2	7_2	997812	1117263	119451	21	53.02	53.02	0	59726	
gacu	dDocent_Contig_10881	dDocent_Contig_112195	2	17	4542711	4661289	118578	1	39.79	39.79	0	59289	
tnig	dDocent_Contig_24110	dDocent_Contig_124034	3	14	7360491	7449891	117199	11	22.67	22.67	0	39066	
dlab	dDocent_Contig_30404	dDocent_Contig_8174	2	12	11416193	11531366	115173	7	13.9	13.9	0	57587	
gacu	dDocent_Contig_6993	dDocent_Contig_19676	2	12	12184771	12296255	111484	23	31.6	31.6	0	55742	
trub	dDocent_Contig_25692	dDocent_Contig_8598	2	11	5105720	5216265	110545	3	8.91	8.91	0	55273	
trub	dDocent_Contig_27826	dDocent_Contig_13457	2	12	2276108	2385686	109578	22	59.13	59.13	0	54789	
trub	dDocent_Contig_29713	dDocent_Contig_21587	2	20	1459652	1569036	109384	12	10.41	10.41	0	54692	
lcal	dDocent_Contig_30404	dDocent_Contig_8174	2	19	11755522	11864443	108921	7	13.9	13.9	0	54461	
gacu	dDocent_Contig_42416	dDocent_Contig_2785	2	7	18668316	18771323	103007	9	41.08	41.08	0	51504	
tnig	dDocent_Contig_233714	dDocent_Contig_4468	2	5	3311288	3412245	100957	20	28.17	28.17	0	50479	
trub	dDocent_Contig_44252	dDocent_Contig_51425	3	22	6833761	6807115	99263	10	35.39	35.39	0	33088	
tnig	dDocent_Contig_101801	dDocent_Contig_4899	2	7	7639811	7737688	97877	9	18.42	18.42	0	48939	
dlab	dDocent_Contig_32550	dDocent_Contig_187344	2	8	17415188	17511053	95865	19	7.49	7.49	0	47933	
onil	dDocent_Contig_144102	dDocent_Contig_130331	2	7	11070567	11159625	89058	14	2.16	2.16	0	44529	
trub	dDocent_Contig_70736	dDocent_Contig_103135	2	9	3094366	3176798	82432	24	0	0	0	41216	
lcal	dDocent_Contig_49717	dDocent_Contig_21964	2	13	22590020	22671540	81520	6	4.22	4.22	0	40760	
lcal	dDocent_Contig_210753	dDocent_Contig_90958	3	18	8687057	8760775	73718	18	54.58	54.58	0	24573	
lcal	dDocent_Contig_378632	dDocent_Contig_97542	2	9	16630578	16702864	72286	14	8.69	8.69	0	36143	
tnig	dDocent_Contig_73753	dDocent_Contig_51425	2	15	5679331	5750636	71305	10	35.39	35.39	0	35653	
onil	dDocent_Contig_63932	dDocent_Contig_64534	2	18	10897238	10968367	71129	10	35.97	35.97	0	35565	
tnig	dDocent_Contig_25692	dDocent_Contig_8598	2	16	2083278	2151979	68701	3	8.91	8.91	0	34351	
lcal	dDocent_Contig_37716	dDocent_Contig_154461	2	2	9133816	9066014	67802	20	52.15	52.15	0	33901	
trub	dDocent_Contig_118656	dDocent_Contig_167115	2	9	211332	144893	66439	24	0	0	0	33220	
dlab	dDocent_Contig_7179	dDocent_Contig_15034	2	5	24831634	24894438	62804	20	51.65	51.65	0	31402	
lcal	dDocent_Contig_371139	dDocent_Contig_37785	2	15	10814868	10877120	62252	16	31.28	31.28	0	31126	
dlab	dDocent_Contig_14551	dDocent_Contig_2441	2	24	8289742	8351564	61822	21	19.57	19.57	0	30911	
lcal	dDocent_Contig_7179	dDocent_Contig_15034	2	2	10797889	10856246	58357	20	51.65	51.65	0	29179	
lcal	dDocent_Contig_14551	dDocent_Contig_2441	2	7_2	9342170	9284432	57738	21	19.57	19.57	0	28869	
lcal	dDocent_Contig_29128	dDocent_Contig_9980	2	18	1091022	1142980	51958	18	35.19	35.19	0	25979	
tnig	dDocent_Contig_3405	dDocent_Contig_138223	2	3	1554157	1506441	47716	21	53.02	53.02	0	23858	
onil	dDocent_Contig_44252	dDocent_Contig_51425	2	18	9995294	10042131	46837	10	35.39	35.39	0	23419	
lcal	dDocent_Contig_16052	dDocent_Contig_113794	2	3	4280572	4327158	46586	22	11.13	11.13	0	23293	
lcal	dDocent_Contig_17645	dDocent_Contig_29581	2	8	21282738	21237529	45209	5	58.67	58.67	0	22605	
lcal	dDocent_Contig_92057	dDocent_Contig_203924	2	17	24901984	24861508	40476	12	62.11	62.11	0	20238	
gacu	dDocent_Contig_2583	dDocent_Contig_272119	2	18	9675688	9644189	31499	11	44.61	44.61	0	15750	
onil	dDocent_Contig_27794	dDocent_Contig_265358	2	11	26815902	26789065	26837	16	50.65	50.65	0	13419	
lcal	dDocent_Contig_27794	dDocent_Contig_265358	2	15	3013777	3039358	25581	16	50.65	50.65	0	12791	
dlab	dDocent_Contig_27794	dDocent_Contig_265358	2	16	817747	843326	25579	16	50.65	50.65	0	12790	
dlab	dDocent_Contig_146359	dDocent_Contig_70673	2	13	22114856	22137369	22513	3	8.45	8.45	0	11257	
lcal	dDocent_Contig_146359	dDocent_Contig_70673	2	21	17204770	17226468	21698	3	8.45	8.45	0	10849	
lcal	dDocent_Contig_117020	dDocent_Contig_44547	2	8	13573980	13594694	20714	5	25.61	25.61	0	10357	
lcal	dDocent_Contig_32568	dDocent_Contig_311739	2	12	26304823	26284702	20121	1	35.16	35.16	0	10061	
gacu	dDocent_Contig_103540	dDocent_Contig_85985	2	12	11381378	11361928	19450	23	34.45	34.45	0	9725	
gacu	dDocent_Contig_32568	dDocent_Contig_311739	2	17	5385205	5403073	17868	1	35.16	35.16	0	8934	
lcal	dDocent_Contig_8679	dDocent_Contig_84028	3	7_1	14030304	14023555	17781	11	25.25	25.25	0	5927	
trub	dDocent_Contig_32568	dDocent_Contig_311739	2	19	8679779	8695898	16119	1	35.16	35.16	0	8060	
trub	dDocent_Contig_9971	dDocent_Contig_90958	2	18	3737314	3723200	14114	18	54.58	54.58	0	7057	
trub	dDocent_Contig_3387	dDocent_Contig_13705	2	21	9740913	9754119	13206	6	32.38	32.38	0	6603	
lcal	dDocent_Contig_7007	dDocent_Contig_60550	2	24	10945055	10934123	10932	8	36.52	36.52	0	5466	
gacu	dDocent_Contig_19428	dDocent_Contig_69223	2	19	11404533	11394893	9640	24	28.43	28.43	0	4820	
dlab	dDocent_Contig_61954	dDocent_Contig_3098	2	1B	6159575	6154915	4660	15	39.39	39.39	0	2330	
onil	dDocent_Contig_118495	dDocent_Contig_238701	2	11	8187673	8183770	3903	16	9.63	9.63	0	1952	
dlab	dDocent_Contig_118495	dDocent_Contig_238701	2	16	20346668	20350554	3886	16	9.63	9.63	0	1943	
trub	dDocent_Contig_118495	dDocent_Contig_238701	2	7	5714756	5711538	3218	16	9.63	9.63	0	1609	
tnig	dDocent_Contig_118495	dDocent_Contig_238701	2	8	1262158	1259004	3154	16	9.63	9.63	0	1577	
dlab	dDocent_Contig_123765	dDocent_Contig_40313	2	14	23844568	23844877	309	9	64.01	64.01	0	155	
onil	dDocent_Contig_21556	dDocent_Contig_268904	3	1	21957714	22503339	545625	20	21.65	21.64	0.01	181875	
lcal	dDocent_Contig_201958	dDocent_Contig_69859	3	1	3706289	4223023	516734	13	60.32	60.31	0.01	172245	
lcal	dDocent_Contig_163522	dDocent_Contig_4352	2	5	27812550	28200031	387481	4	4.9	4.96	0.06	193741	
trub	dDocent_Contig_224986	dDocent_Contig_124590	2	2	7219403	7516049	296646	7	15.52	15.59	0.07	148323	
lcal	dDocent_Contig_5987	dDocent_Contig_3903	2	7_2	11570085	11639491	69406	21	47.33	47.4	0.07	34703	
dlab	dDocent_Contig_54103	dDocent_Contig_260352	2	6	3994512	4024562	30050	24	7.71	7.78	0.07	15025	
