locus,map_chr,map_prop,map_pos,dlab_chr,dlab_prop,dlab_pos,poli_chr,poli_prop,poli_pos,gacu_chr,gacu_prop,gacu_pos,lcal_chr,lcal_prop,lcal_pos,trub_chr,trub_prop,trub_pos,tnig_chr,tnig_prop,tnig_pos,csem_chr,csem_prop,csem_pos,onil_chr,onil_prop,onil_pos,
dDocent_Contig_168300,23,0.858,56.18,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_209055,17,0.067,4.05,3,0.181,2430448,9,0.198,2947851,,,,14,0.163,2293866,,,,,,,,,,,,,
dDocent_Contig_26491,6,0.513,36.47,20,0.409,11629198,23,0.410,12012190,13,0.304,6095495,13,0.254,6919880,21,0.485,7220028,,,,W,0.778,12800311,12,0.584,20238902,
dDocent_Contig_20987,20,0.405,28.32,5,0.322,10509314,7,0.113,3339322,,,,2,0.876,26634652,,,,,,,,,,,,,
dDocent_Contig_44421,20,0.376,26.33,5,0.263,8578518,7,0.568,16784659,2,0.651,15158088,2,0.809,24575049,13,0.240,4064611,5,0.189,2531147,5,0.958,18468027,1,0.590,18411882,
dDocent_Contig_125297,9,0.450,35.31,14,0.546,15508403,20,0.501,11490575,,,,20,0.624,14823638,,,,,,,,,,10,0.679,11610439,
dDocent_Contig_110552,24,0.756,48.84,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_3390,24,0.000,0,,,,19,0.046,1215171,,,,,,,,,,,,,,,,,,,
dDocent_Contig_87663,14,0.553,29.44,19,0.619,14359912,13,0.028,549269,14,0.426,6493577,9,0.454,10431690,,,,,,,14,0.762,21967792,7,0.486,24786750,
dDocent_Contig_200778,18,0.998,71.39,,,,16,0.864,14835165,4,0.996,32495465,18,0.589,11307811,18,0.304,2448583,19,0.138,1004442,,,,17,0.502,15926163,
dDocent_Contig_1403,17,0.987,60.03,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_132912,8,0.353,25.6,18-21,0.234,3844387,18,0.083,1614055,21,0.326,3819049,24,0.360,7129780,,,,,,,3,0.247,4018557,9,0.277,5807966,
dDocent_Contig_3449,23,0.486,31.82,22-25,0.472,12480996,17,0.900,22665197,12,0.614,11298632,6,0.486,13575462,3,0.540,7069731,9,0.374,3950234,10,0.610,12816069,20,0.803,25258634,
dDocent_Contig_71529,16,0.420,28.63,16,0.465,11999206,,,,,,,,,,22,0.723,8388235,,,,,,,11,0.197,6574038,
dDocent_Contig_4791,6,0.086,6.12,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_1408,21,0.438,28.16,24,0.793,11034373,14,0.503,5608320,1,0.908,25591500,7_2,0.490,6817553,8,0.096,1410973,3,0.415,6432130,14,0.580,16742862,,,,
dDocent_Contig_242472,2,0.245,13.8,11,0.173,4540918,3,0.295,6853241,,,,16-22,0.110,2853809,,,,,,,12,0.772,14210383,13,0.394,12917116,
dDocent_Contig_17011,17,0.847,51.5,,,,9,0.828,12308802,,,,,,,,,,,,,,,,,,,
dDocent_Contig_143932,24,0.000,0,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_12077,19,0.423,24.55,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_390204,10,0.537,35.39,10,0.481,11567309,11,0.517,11778920,,,,4,0.532,13587894,,,,,,,,,,,,,
dDocent_Contig_35914,22,0.779,59.16,,,,22,0.067,1330150,,,,3,0.871,20477018,,,,,,,,,,,,,
dDocent_Contig_20453,22,0.547,41.54,,,,22,0.339,6778765,,,,3,0.579,13594932,,,,,,,,,,,,,
dDocent_Contig_11522,23,0.422,27.64,22-25,0.352,9306959,17,0.194,4875286,12,0.012,223918,,,,3,0.702,9189790,,,,,,,20,0.447,14082423,
dDocent_Contig_52936,5,0.504,33.66,2,0.139,3636483,12,0.326,8386329,,,,8,0.662,17154010,,,,,,,,,,,,,
dDocent_Contig_223375,10,0.281,18.49,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_195456,5,0.093,6.23,2,0.585,15342288,12,0.582,14953479,,,,8,0.178,4602472,,,,,,,,,,,,,
dDocent_Contig_6885,24,0.000,0,,,,19,0.093,2454376,,,,,,,,,,,,,,,,,,,
dDocent_Contig_14056,3,0.720,48.93,,,,21,0.184,4668350,,,,,,,,,,,,,,,,,,,
dDocent_Contig_163599,6,0.757,53.79,,,,23,0.031,894092,,,,13,0.063,1707682,,,,,,,,,,,,,
dDocent_Contig_214291,8,0.626,45.42,18-21,0.673,11071183,18,0.437,8481385,21,0.811,9497637,,,,10,0.668,6097093,,,,3,0.915,14874218,,,,
dDocent_Contig_116123,18,0.592,42.35,x,0.609,10825498,16,0.396,6793560,4,0.902,29429842,18,0.345,6624159,,,,,,,,,,17,0.693,21987751,
dDocent_Contig_46589,1,0.887,58.07,,,,1,0.652,18133869,,,,12,0.022,612365,,,,,,,,,,,,,
dDocent_Contig_16476,14,0.688,36.62,,,,13,0.212,4199216,,,,,,,,,,,,,,,,,,,
dDocent_Contig_113893,7,0.928,52.99,,,,8,0.030,489146,,,,19,0.999,24499368,2,0.921,10509030,,,,1,0.476,16448607,19,0.919,24972682,
dDocent_Contig_263392,9,0.455,35.71,14,0.546,15509885,20,0.501,11489028,,,,20,0.624,14825314,,,,7,0.353,4131564,,,,,,,
dDocent_Contig_99714,20,0.943,65.98,5,0.712,23205811,7,0.826,24414221,,,,2,0.306,9304825,13,0.606,10271523,,,,,,,1,0.028,880818,
dDocent_Contig_44483,22,0.525,39.84,9,0.637,14248441,22,0.432,8636366,,,,3,0.512,12042484,,,,,,,18,0.694,10549528,,,,
dDocent_Contig_104302,2,0.931,52.43,,,,3,0.637,14781919,,,,16-22,0.499,12904040,,,,,,,,,,,,,
dDocent_Contig_15415,11,0.899,59.28,,,,2,0.833,17066487,,,,,,,,,,,,,,,,,,,
dDocent_Contig_32999,8,0.025,1.8,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_23746,6,0.547,38.89,20,0.436,12395665,23,0.384,11258287,13,0.272,5456105,13,0.224,6113773,,,,12,0.706,8917353,W,0.223,3668338,12,0.610,21163294,
dDocent_Contig_356616,8,0.597,43.33,18-21,0.658,10830928,18,0.387,7516444,,,,24,0.708,14032739,,,,,,,,,,9,0.647,13565794,
dDocent_Contig_144102,14,0.041,2.16,19,0.252,5851942,13,0.608,12014576,14,0.047,716517,9,0.823,18926645,6,0.614,5776859,,,,14,0.608,17531679,7,0.217,11070567,
dDocent_Contig_102544,18,0.183,13.06,x,0.182,3233289,16,0.381,6542458,,,,18,0.847,16255330,,,,,,,,,,17,0.257,8159791,
dDocent_Contig_3150,12,0.637,45.06,4,0.264,7292232,24,0.224,5105965,,,,17,0.731,20225763,,,,,,,,,,,,,
dDocent_Contig_95956,6,0.086,6.12,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_8679,11,0.383,25.25,17,0.392,8969303,2,0.756,15488659,,,,7_1,0.603,14030304,,,,,,,,,,,,,
dDocent_Contig_32931,15,0.571,42.48,1B,0.260,4677183,4,0.619,11750658,,,,23,0.374,6794648,1,0.321,7472146,,,,8,0.191,5747817,,,,
dDocent_Contig_7074,2,0.447,25.18,11,0.369,9677511,3,0.842,19532620,,,,16-22,0.298,7714986,,,,,,,,,,,,,
dDocent_Contig_273575,2,0.928,52.26,,,,3,0.558,12956932,,,,16-22,0.675,17454678,,,,,,,,,,13,0.084,2752385,
dDocent_Contig_56244,14,0.186,9.9,19,0.337,7811772,13,0.505,9993226,14,0.126,1916332,9,0.733,16854471,6,0.527,4963450,,,,,,,7,0.261,13311157,
dDocent_Contig_384998,6,0.299,21.22,20,0.095,2689922,23,0.667,19547339,13,0.650,13047841,13,0.570,15521389,,,,,,,,,,12,0.288,9985572,
dDocent_Contig_85216,10,0.382,25.19,10,0.223,5365133,11,0.246,5601503,3,0.171,2880685,4,0.771,19693832,,,,15,0.314,2300586,20,0.783,11928850,18,0.158,4149071,
dDocent_Contig_34664,4,0.138,10.53,7,0.267,7618261,5,0.598,15447604,,,,5,0.858,24853755,,,,,,,9,0.621,12173056,,,,
dDocent_Contig_128509,18,0.019,1.34,x,0.034,603273,16,0.305,5229417,4,0.725,23672381,18,0.990,19006160,,,,,,,,,,,,,
dDocent_Contig_21218,3,0.406,27.55,13,0.461,12742915,21,0.491,12425745,,,,21,0.269,7719599,,,,,,,4,0.989,19792004,,,,
dDocent_Contig_55599,22,0.779,59.16,,,,22,0.062,1237899,,,,3,0.877,20608309,,,,,,,,,,,,,
dDocent_Contig_1684,6,0.624,44.35,,,,23,0.249,7284211,,,,13,0.099,2703612,,,,,,,,,,12,0.719,24942982,
dDocent_Contig_258643,9,0.520,40.85,,,,20,0.294,6737392,,,,20,0.792,18817708,,,,,,,,,,,,,
dDocent_Contig_50518,10,0.592,39,10,0.620,14918201,11,0.867,19739183,3,0.988,16597257,4,0.400,10220321,22,0.071,825823,,,,,,,18,0.519,13598740,
dDocent_Contig_264891,10,0.229,15.1,10,0.154,3693439,11,0.320,7275239,3,0.232,3889000,4,0.835,21327156,22,0.541,6285603,,,,20,0.833,12688862,18,0.080,2093103,
dDocent_Contig_146176,24,0.514,33.25,6,0.571,16087107,19,0.722,19046258,,,,,,,,,,,,,,,,,,,
dDocent_Contig_159654,17,0.033,2,3,0.092,1232216,9,0.145,2155769,,,,14,0.080,1125937,8,0.646,9494204,,,,1,0.973,33590554,3,0.030,588669,
dDocent_Contig_30667,20,0.433,30.33,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_11849,14,0.169,8.97,,,,13,0.535,10585675,,,,9,0.767,17634514,,,,,,,,,,,,,
dDocent_Contig_47122,24,0.760,49.15,6,0.721,20333300,19,0.953,25149361,,,,10,0.130,3624455,,,,,,,,,,,,,
dDocent_Contig_4686,14,0.303,16.1,19,0.436,10112220,13,0.387,7659125,14,0.224,3421464,9,0.635,14600212,6,0.421,3963591,4,0.701,6925373,14,0.860,24801945,7,0.313,15994603,
dDocent_Contig_43948,22,0.779,59.13,,,,,,,,,,,,,7,0.079,1134043,,,,,,,,,,
dDocent_Contig_20683,9,0.215,16.85,14,0.308,8737440,20,0.796,18238128,,,,20,0.346,8230080,,,,,,,,,,,,,
dDocent_Contig_19238,19,0.570,33.09,,,,10,0.287,6262197,,,,,,,,,,,,,,,,4,0.126,3626886,
dDocent_Contig_69113,22,0.627,47.63,9,0.684,15286603,22,0.365,7305435,10,0.357,5583085,3,0.555,13039340,12,0.209,2230748,21,0.371,2166118,18,0.395,5999530,22,0.407,10746459,
dDocent_Contig_135616,17,0.889,54.06,14,0.029,824100,9,0.832,12372435,,,,14,0.943,13276780,,,,,,,,,,,,,
dDocent_Contig_241945,22,0.632,47.96,9,0.678,15154867,22,0.371,7420644,10,0.350,5481543,3,0.550,12917838,12,0.217,2313671,21,0.359,2094601,18,0.402,6110250,22,0.412,10884084,
dDocent_Contig_2650,16,0.350,23.85,,,,6,0.557,13701143,,,,,,,,,,,,,,,,,,,
dDocent_Contig_221276,12,0.479,33.9,4,0.400,11024386,24,0.064,1459360,8,0.563,10897655,17,0.595,16470365,,,,,,,2,0.161,3222826,,,,
dDocent_Contig_121221,18,1.000,71.55,x,0.961,17081235,16,0.925,15881000,,,,18,0.680,13041959,,,,,,,,,,,,,
dDocent_Contig_650,24,0.341,22.03,6,0.399,11243234,19,0.526,13877610,19,0.601,12161952,10,0.444,12417814,9,0.602,8379851,13,0.550,7322027,6,0.447,8426346,7,0.770,39288401,
dDocent_Contig_2478,15,0.429,31.86,1B,0.503,9057117,4,0.202,3836893,5,0.651,7981525,23,0.604,10975595,1,0.187,4349834,,,,8,0.056,1682598,8,0.565,16648389,
dDocent_Contig_75699,23,0.582,38.07,1A,0.546,15856429,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_20487,4,0.274,20.87,,,,5,0.481,12426005,,,,,,,,,,,,,,,,,,,
dDocent_Contig_62646,5,0.837,55.86,,,,12,0.199,5110577,,,,8,0.860,22297465,,,,,,,,,,2,0.218,5462527,
dDocent_Contig_3962,19,0.520,30.14,,,,,,,11,0.735,12272971,,,,,,,3,0.557,8629016,,,,,,,
dDocent_Contig_312955,6,0.632,44.9,20,0.464,13171805,23,0.214,6257481,,,,13,0.197,5376630,21,0.417,6220780,,,,,,,,,,
dDocent_Contig_3740,5,0.012,0.770000000000002,2,0.540,14153325,12,0.627,16125152,,,,8,0.222,5750668,,,,,,,,,,,,,
dDocent_Contig_139122,14,0.737,39.23,,,,13,0.805,15920867,,,,,,,,,,,,,,,,,,,
dDocent_Contig_19759,1,0.222,14.56,15,0.833,21306809,,,,,,,,,,,,,,,,,,,9,0.120,2518445,
dDocent_Contig_102859,14,0.361,19.21,,,,13,0.317,6271770,,,,,,,,,,,,,,,,,,,
dDocent_Contig_28050,22,0.661,50.17,9,0.788,17614828,22,0.267,5335808,,,,3,0.650,15270378,,,,,,,,,,,,,
dDocent_Contig_206752,3,0.412,28.01,13,0.464,12822853,21,0.494,12504810,1,0.208,5874437,21,0.272,7792795,,,,,,,4,0.985,19716987,,,,
dDocent_Contig_115279,23,0.483,31.6,,,,17,0.936,23565775,,,,,,,,,,,,,,,,,,,
dDocent_Contig_54827,2,0.580,32.63,11,0.485,12722326,3,0.967,22448220,,,,16-22,0.413,10665922,,,,,,,12,0.831,15282946,,,,
dDocent_Contig_348,19,0.088,5.09,8,0.744,17167250,10,0.739,16147664,,,,11,0.082,1906989,,,,,,,,,,4,0.871,24984097,
dDocent_Contig_16925,15,0.817,60.77,,,,4,0.860,16336609,,,,23,0.066,1192320,,,,,,,,,,8,0.142,4188575,
dDocent_Contig_3862,12,0.162,11.49,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_24007,6,0.059,4.22,,,,23,0.783,22947872,13,0.779,15654398,13,0.688,18742798,21,0.319,4756087,12,0.874,11027079,Z,0.702,15375446,12,0.173,6013545,
dDocent_Contig_6533,23,0.979,64.09,,,,17,0.059,1485825,,,,,,,,,,,,,,,,,,,
dDocent_Contig_219112,16,0.273,18.6,16,0.874,22575134,6,0.714,17571322,20,0.121,2395987,15,0.520,16013978,7,0.316,4513122,,,,13,0.731,16023924,11,0.113,3767666,
dDocent_Contig_26394,17,0.832,50.56,,,,9,0.714,10616963,,,,9,0.921,21172157,,,,,,,,,,,,,
dDocent_Contig_13646,12,0.926,65.54,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_318878,6,0.470,33.38,20,0.292,8305512,23,0.311,9109957,,,,13,0.373,10155580,,,,,,,,,,,,,
dDocent_Contig_269074,3,0.503,34.19,13,0.360,9956682,21,0.384,9717701,,,,21,0.174,4995641,,,,,,,,,,14,0.313,10688244,
dDocent_Contig_19221,6,0.451,32.04,,,,23,0.321,9397780,,,,,,,,,,,,,,,,,,,
dDocent_Contig_117020,5,0.384,25.61,2,0.263,6898751,12,0.834,21447804,,,,8,0.524,13573980,,,,,,,,,,,,,
dDocent_Contig_28525,10,0.261,17.22,,,,11,0.240,5470313,,,,,,,,,,,,,,,,,,,
dDocent_Contig_37115,23,0.198,12.93,22-25,0.160,4219688,17,0.699,17607393,12,0.741,13641795,6,0.791,22078605,3,0.902,11806088,9,0.815,8603486,10,0.983,20663584,20,0.256,8060269,
dDocent_Contig_82625,2,0.539,30.37,11,0.508,13313905,3,0.992,23030788,,,,16-22,0.436,11270051,,,,,,,,,,,,,
dDocent_Contig_52625,2,0.931,52.43,,,,3,0.501,11618320,,,,16-22,0.619,16003946,4,0.408,5640712,,,,,,,13,0.032,1039841,
dDocent_Contig_5207,11,0.102,6.76,17,0.136,3114266,2,0.379,7759010,,,,7_1,0.856,19919674,,,,,,,,,,,,,
dDocent_Contig_29371,23,0.889,58.18,,,,17,0.105,2636213,,,,,,,,,,,,,,,,,,,
dDocent_Contig_394281,17,0.985,59.88,,,,9,0.918,13642737,,,,14,0.796,11199054,,,,,,,,,,,,,
dDocent_Contig_73664,13,0.826,53.18,15,0.781,19965743,15,0.154,3671100,,,,1,0.290,7444344,1,0.959,22303780,2,0.954,20604867,16,0.380,7137482,16,0.248,8646666,
dDocent_Contig_92949,1,0.360,23.58,1A,0.543,15772231,1,0.540,15004011,17,0.677,9884433,12,0.793,22091268,19,0.326,4624655,11,0.601,7187527,11,0.160,3287748,5,0.488,18232992,
dDocent_Contig_146487,19,0.418,24.27,,,,10,0.074,1621515,,,,,,,,,,,,,,,,,,,
dDocent_Contig_36696,3,0.960,65.21,,,,21,0.061,1534222,,,,,,,,,,,,,,,,,,,
dDocent_Contig_19428,24,0.440,28.43,6,0.498,14035701,19,0.421,11098760,19,0.563,11404533,10,0.345,9638774,,,,,,,,,,,,,
dDocent_Contig_18050,7,0.282,16.09,,,,8,0.825,13508336,,,,19,0.454,11145077,,,,,,,,,,,,,
dDocent_Contig_568,11,0.150,9.92,,,,2,0.040,825547,,,,,,,,,,,,,,,,,,,
dDocent_Contig_246896,2,0.967,54.47,,,,3,0.449,10409738,6,0.863,14740536,,,,,,,,,,,,,,,,
dDocent_Contig_15702,11,0.118,7.76,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_128759,8,0.891,64.69,,,,18,0.992,19261644,,,,24,0.790,15642398,,,,6,0.912,6409360,,,,,,,
dDocent_Contig_182167,17,0.766,46.54,3,0.905,12169939,9,0.758,11271223,,,,,,,,,,,,,,,,3,0.683,13197008,
dDocent_Contig_177172,22,0.359,27.27,9,0.377,8440833,22,0.704,14075208,,,,3,0.270,6353247,,,,,,,,,,22,0.903,23844204,
dDocent_Contig_327671,11,0.478,31.52,17,0.463,10601850,2,0.707,14494070,,,,7_1,0.535,12432215,,,,,,,,,,15,0.648,17288445,
dDocent_Contig_75983,5,0.842,56.19,2,0.974,25540076,12,0.409,10516100,4,0.045,1464182,8,0.755,19578139,14,0.830,10226651,1,0.260,5981938,15,0.210,4226265,2,0.338,8464099,
dDocent_Contig_57647,21,0.469,30.16,,,,14,0.305,3399495,,,,,,,,,,,,,,,,,,,
dDocent_Contig_319005,18,0.970,69.38,x,0.974,17324081,16,0.931,15984633,,,,18,0.690,13250677,,,,,,,8,0.565,17036799,,,,
dDocent_Contig_113253,8,0.077,5.56,,,,18,0.702,13632129,,,,24,0.245,4845767,,,,,,,,,,9,0.060,1261944,
dDocent_Contig_123378,23,0.910,59.58,22-25,0.941,24875609,17,0.083,2101484,12,0.988,18179639,6,0.095,2646890,,,,9,0.995,10501912,10,0.259,5451138,20,0.572,17991389,
dDocent_Contig_22395,24,0.575,37.15,6,0.647,18232269,19,0.810,21372359,19,0.425,8593726,10,0.202,5634753,9,0.690,9600078,13,0.640,8509700,6,0.427,8045126,3,0.786,15191734,
dDocent_Contig_3663,22,0.592,44.95,9,0.653,14595381,22,0.395,7894299,10,0.324,5069551,3,0.527,12376742,,,,,,,,,,22,0.437,11534577,
dDocent_Contig_122322,20,0.443,31.04,5,0.440,14364984,7,0.229,6757909,2,0.468,10903915,2,0.018,541509,,,,,,,5,0.241,4644641,1,0.389,12131220,
dDocent_Contig_379939,17,0.066,4.03,3,0.296,3980176,9,0.031,459549,,,,14,0.270,3802511,,,,,,,,,,,,,
dDocent_Contig_120494,9,0.369,28.97,14,0.432,12267393,20,0.639,14643708,7,0.625,17470637,20,0.491,11671908,15,0.787,9067779,7,0.525,6135349,,,,10,0.469,8015718,
