CONTIG_ID	ACCESSION	GENE_ID	GO_PROCESS	STUDY	CONTEXT
Contig41	DV565449	Lysozyme c		Larsen_2007	NTHSEA_HILOW
PfIL001E01	DV565451	Cytochrome P450 24A1	electron transport;	Larsen_2007	NTHSEA_HILOW
Contig1082	DV565453	none		Larsen_2007	NTHSEA_BALTIC
PfIL001H03	DV565467	bromodomain-containing 3		Larsen_2007	NTHSEA_BALTIC
Contig662	DV565483	fertilization envelope outer layer protein		Larsen_2007	NTHSEA_HILOW
Contig409	DV565487	hypothetical protein LOC57128		Larsen_2007	NTHSEA_BALTIC
PfIL007H03	DV565508	none		Larsen_2007	HIGH_LOW_SALINITY
PfIL007H03	DV565508	none		Larsen_2007	NTHSEA_HILOW
Contig619	DV565514	cDNA clone clone WE3-5 sim to PADI-H protein		Larsen_2007	BALTIC_HILOW
PfIL008C04	DV565523	complement component C9		Larsen_2007	NTHSEA_BALTIC
Contig480	DV56553	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	NTHSEA_HILOW
Contig1013	DV565535	Transferrin		Larsen_2007	NTHSEA_BALTIC
Contig480	DV565538	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	HIGH_LOW_SALINITY
Contig442	DV565571	glutamate carboxypeptidase (Darmin)		Larsen_2007	NTHSEA_HILOW
Contig1006	DV565573	CD59 Glycoprotein precursor (MAC 1P)		Larsen_2007	NTHSEA_BALTIC
Contig1018	DV565602	Prostaglandin D synthase		Larsen_2007	NTHSEA_HILOW
Contig41	DV565616	Lysozyme c		Larsen_2007	NTHSEA_HILOW
Contig563	DV565620	Zgc:103569		Larsen_2007	NTHSEA_HILOW
Contig237	DV565624	none		Larsen_2007	HIGH_LOW_SALINITY
Contig237	DV565624	none		Larsen_2007	NTHSEA_HILOW
Contig167	DV565628	cDNA clone CNB74-B11		Larsen_2007	NTHSEA_BALTIC
PfIL013A10	DV565635	putative transmembrane 4 superfamily member protein		Larsen_2007	NTHSEA_HILOW
PfIL013B08	DV565640	none		Larsen_2007	NTHSEA_BALTIC
Contig662	DV565658	fertilization envelope outer layer protein		Larsen_2007	NTHSEA_HILOW
PfIL020B09	DV565673	LOC495096 protein		Larsen_2007	HIGH_LOW_SALINITY
PfIL020B09	DV565673	LOC495096 protein		Larsen_2007	BALTIC_HILOW
Contig752	DV565675	Liver-expressed antimicrobial peptide 2A		Larsen_2007	NTHSEA_HILOW
Contig41	DV565695	Lysozyme c		Larsen_2007	NTHSEA_HILOW
Contig683	DV565710	60S ribosomal protein L37a	protein biosynthesis; ribosome biogenesis and assembly;	Larsen_2007	NTHSEA_HILOW
Contig19	DV565722	Neurotoxin/C59/Ly-6-like protein		Larsen_2007	NTHSEA_BALTIC
Contig19	DV565722	Neurotoxin/C59/Ly-6-like protein		Larsen_2007	NTHSEA_HILOW
PfIL201B04	DV565785	none		Larsen_2007	NTHSEA_BALTIC
PfIL201C02	DV565789	Prothrombin (EC 3.4.21.5)	evasion of host defense response; blood coagulation; proteolysis and peptidolysis;	Larsen_2007	HIGH_LOW_SALINITY
PfIL201C02	DV565789	Prothrombin (EC 3.4.21.5)	evasion of host defense response; blood coagulation; proteolysis and peptidolysis;	Larsen_2007	NTHSEA_HILOW
Contig563	DV565798	Zgc:103569		Larsen_2007	NTHSEA_HILOW
Contig63	DV565801	none		Larsen_2007	NTHSEA_BALTIC
Contig1006	DV565805	CD59 Glycoprotein precursor (MAC 1P)		Larsen_2007	NTHSEA_BALTIC
PfIL201H09	DV565815	B-cell receptor CD22		Larsen_2007	NTHSEA_BALTIC
Contig621	DV565819	Eukaryotic translation elongation factor 2	regulation of translational elongation;	Larsen_2007	NTHSEA_BALTIC
Contig167	DV565823	cDNA clone CNB74-B11		Larsen_2007	NTHSEA_BALTIC
PfIL202F05	DV565845	none		Larsen_2007	NTHSEA_BALTIC
Contig911	DV565850	ferritin heavy subunit; ferritin H		Larsen_2007	HIGH_LOW_SALINITY
Contig964	DV565854	Alpha 2HS glycoprotein	cellular process; organismal physiological process; regulation of physiological process;	Larsen_2007	HIGH_LOW_SALINITY
Contig964	DV565854	Alpha 2HS glycoprotein	cellular process; organismal physiological process; regulation of physiological process;	Larsen_2007	NTHSEA_HILOW
Contig19	DV565862	Neurotoxin/C59/Ly-6-like protein		Larsen_2007	NTHSEA_BALTIC
Contig19	DV565862	Neurotoxin/C59/Ly-6-like protein		Larsen_2007	NTHSEA_HILOW
Contig630	DV565867	cDNA clone OD-006		Larsen_2007	NTHSEA_HILOW
Contig1018	DV565871	Prostaglandin D synthase		Larsen_2007	NTHSEA_HILOW
Contig1096	DV565892	40S ribosomal protein S27		Larsen_2007	NTHSEA_BALTIC
Contig662	DV565906	fertilization envelope outer layer protein		Larsen_2007	NTHSEA_HILOW
Contig563	DV565918	Zgc:103569		Larsen_2007	NTHSEA_HILOW
Contig112	DV565919	beta-2 microglobulin	immune response;	Larsen_2007	NTHSEA_BALTIC
Contig53	DV565945	"Poly A binding protein, cytoplasmic 1 (pabpc1)"		Larsen_2007	NTHSEA_BALTIC
Contig1013	DV565963	Transferrin		Larsen_2007	NTHSEA_BALTIC
Contig1006	DV565974	CD59 Glycoprotein precursor (MAC 1P)		Larsen_2007	NTHSEA_BALTIC
Contig41	DV565979	Lysozyme c		Larsen_2007	NTHSEA_HILOW
Contig669	DV565988	none		Larsen_2007	HIGH_LOW_SALINITY
Contig559	DV566025	60S ribosomal protein L3		Larsen_2007	NTHSEA_BALTIC
Contig925	DV566027	unnamed protein product CAG03272		Larsen_2007	HIGH_LOW_SALINITY
Contig925	DV566027	unnamed protein product CAG03272		Larsen_2007	NTHSEA_HILOW
Contig563	DV566054	Zgc:103569		Larsen_2007	NTHSEA_HILOW
PfIL207D05	DV566063	Calpain small subunit 1 (CSS1)	positive regulation of cell proliferation; proteolysis and peptidolysis;	Larsen_2007	BALTIC_HILOW
Contig75	DV566072	hypothetical protein XP_679282		Larsen_2007	NTHSEA_BALTIC
Contig815	DV566082	cDNA clone CR730599		Larsen_2007	NTHSEA_HILOW
Contig939	DV566104	cDNA clone SL3-0203 sim to Transferrin receptor		Larsen_2007	NTHSEA_BALTIC
Contig683	DV566126	60S ribosomal protein L37a	protein biosynthesis; ribosome biogenesis and assembly;	Larsen_2007	NTHSEA_HILOW
Contig145	DV566251	"3-hydroxyanthranilate 3,4-dioxygenase 3-HAO"		Larsen_2007	HIGH_LOW_SALINITY
Contig145	DV566251	"3-hydroxyanthranilate 3,4-dioxygenase 3-HAO"		Larsen_2007	NTHSEA_HILOW
Contig480	DV566265	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	HIGH_LOW_SALINITY
Contig480	DV566265	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	NTHSEA_HILOW
Contig752	DV566278	Liver-expressed antimicrobial peptide 2A		Larsen_2007	NTHSEA_HILOW
Contig338	DV566288	Hepcidin precursor		Larsen_2007	NTHSEA_BALTIC
Contig338	DV566288	Hepcidin precursor		Larsen_2007	NTHSEA_HILOW
PfIL214C11	DV566292	cDNA clone CLJ65-H08		Larsen_2007	HIGH_LOW_SALINITY
Contig683	DV566294	60S ribosomal protein L37a	protein biosynthesis; ribosome biogenesis and assembly;	Larsen_2007	NTHSEA_HILOW
PfIL214D10	DV566296	none		Larsen_2007	NTHSEA_BALTIC
Contig445	DV566297	cDNA clone JFConA705F		Larsen_2007	NTHSEA_BALTIC
Contig16	DV566315	phospholipid hydroperoxide glutathione peroxidase A	phospholipid metabolism; glutathione metabolism; peroxidase reaction; response to oxidative stress;	Larsen_2007	BALTIC_HILOW
PfIL215F05	DV566328	prostaglandin D synthase homolog		Larsen_2007	NTHSEA_HILOW
Contig964	DV566334	Alpha 2HS glycoprotein	cellular process; organismal physiological process; regulation of physiological process;	Larsen_2007	HIGH_LOW_SALINITY
Contig964	DV566334	Alpha 2HS glycoprotein	cellular process; organismal physiological process; regulation of physiological process;	Larsen_2007	NTHSEA_HILOW
Contig145	DV566356	"3-hydroxyanthranilate 3,4-dioxygenase 3-HAO"		Larsen_2007	HIGH_LOW_SALINITY
Contig145	DV566356	"3-hydroxyanthranilate 3,4-dioxygenase 3-HAO"		Larsen_2007	NTHSEA_HILOW
Contig332	DV566382	cDNA clone BR2E8		Larsen_2007	NTHSEA_BALTIC
Contig112	DV566390	beta-2 microglobulin	immune response;	Larsen_2007	NTHSEA_BALTIC
Contig41	DV566401	Lysozyme c		Larsen_2007	NTHSEA_HILOW
Contig1085	DV566427	Cell death activator CIDE-B		Larsen_2007	HIGH_LOW_SALINITY
PfIL220A01	DV566438	none		Larsen_2007	NTHSEA_BALTIC
Contig1110	DV566442	none		Larsen_2007	NTHSEA_BALTIC
PfIL220C05	DV566444	Cytochrome c oxidase subunit Vb	"respiratory gaseous exchange; mitochondrial electron transport, cytochrome c to oxygen; proton transport;"	Larsen_2007	HIGH_LOW_SALINITY
PfIL220G03	DV566457	none		Larsen_2007	NTHSEA_BALTIC
PfIL220G09	DV566459	"Methylmalonyl-CoA epimerase, mitochondrial precursor"	L-methylmalonyl-CoA metabolism; isoleucine catabolism; leucine catabolism; valine catabolism;	Larsen_2007	NTHSEA_BALTIC
Contig112	DV566465	beta-2 microglobulin	immune response;	Larsen_2007	NTHSEA_BALTIC
Contig683	DV566473	60S ribosomal protein L37a	protein biosynthesis; ribosome biogenesis and assembly;	Larsen_2007	NTHSEA_HILOW
PfIL221G07	DV566492	cDNA clone CR672125		Larsen_2007	NTHSEA_BALTIC
Contig815	DV566493	cDNA clone CR730599		Larsen_2007	NTHSEA_HILOW
PfIL222C06	DV566509	cDNA clone no1e06		Larsen_2007	NTHSEA_BALTIC
Contig646	DV566521	unnamed protein product CAG02268		Larsen_2007	NTHSEA_BALTIC
PfIL223A09	DV566536	p53-related protein kinase TP53RK (Nori-2)	protein amino acid phosphorylation; serine family amino acid metabolism;	Larsen_2007	NTHSEA_BALTIC
PfIL223B04	DV566541	Delta-aminolevulinic acid synthase	heme biosynthesis; glycine metabolism; L-serine metabolism; threonine metabolism; acyl-carrier protein biosynthesis;	Larsen_2007	NTHSEA_BALTIC
Contig112	DV566562	beta-2 microglobulin	immune response;	Larsen_2007	NTHSEA_BALTIC
PfIL224F02	DV566602	ZPAX		Larsen_2007	HIGH_LOW_SALINITY
Contig925	DV566603	unnamed protein product CAG03272		Larsen_2007	HIGH_LOW_SALINITY
Contig925	DV566603	unnamed protein product CAG03272		Larsen_2007	NTHSEA_HILOW
PfIL224G05	DV566611	nucleoporin 98kD isoform 1		Larsen_2007	NTHSEA_BALTIC
PfIL225B11	DV566624	Transcription factor TZP homolog		Larsen_2007	NTHSEA_BALTIC
Contig395	DV566631	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7 (B14.5a)"		Larsen_2007	NTHSEA_BALTIC
Contig983	DV566637	eukaryotic translation elongation factor 1 gamma	protein biosynthesis;	Larsen_2007	NTHSEA_BALTIC
Contig338	DV566638	Hepcidin precursor		Larsen_2007	NTHSEA_BALTIC
Contig338	DV566638	Hepcidin precursor		Larsen_2007	NTHSEA_HILOW
Contig396	DV566645	complement control protein factor I-B		Larsen_2007	NTHSEA_HILOW
Contig413	DV566657	MASP protease / haptoglobin	physiological process;	Larsen_2007	NTHSEA_HILOW
PfIL226D06	DV566669	none		Larsen_2007	NTHSEA_BALTIC
Contig112	DV566681	beta-2 microglobulin	immune response;	Larsen_2007	NTHSEA_BALTIC
PfIL226G02	DV566682	"carboxypeptidase N, polypeptide 1, 50kD precursor"	proteolysis and peptidolysis;	Larsen_2007	NTHSEA_HILOW
Contig112	DV566683	beta-2 microglobulin	immune response;	Larsen_2007	NTHSEA_BALTIC
PfIL227C08	DV566701	Hypothetical protein zgc:76924		Larsen_2007	NTHSEA_BALTIC
Contig752	DV566702	Liver-expressed antimicrobial peptide 2A		Larsen_2007	NTHSEA_HILOW
Contig480	DV566748	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	HIGH_LOW_SALINITY
Contig480	DV566748	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	NTHSEA_HILOW
Contig647	DV566759	angiotensinogen precursor		Larsen_2007	HIGH_LOW_SALINITY
Contig647	DV566759	angiotensinogen precursor		Larsen_2007	NTHSEA_HILOW
PfIL228H02	DV566763	unamed protein product with integrin beta subunits	cell adhesion;	Larsen_2007	NTHSEA_HILOW
Contig752	DV566771	Liver-expressed antimicrobial peptide 2A		Larsen_2007	NTHSEA_HILOW
Contig112	DV566807	beta-2 microglobulin	immune response;	Larsen_2007	NTHSEA_BALTIC
PfIL230C06	DV566811	Cytochrome c oxidase polypeptide VIIa-liver/heart mitochondrial precursor	"mitochondrial electron transport, cytochrome c to oxygen; proton transport;"	Larsen_2007	NTHSEA_HILOW
Contig41	DV566813	Lysozyme c		Larsen_2007	NTHSEA_HILOW
Contig41	DV566815	Lysozyme c		Larsen_2007	NTHSEA_HILOW
Contig41	DV566816	Lysozyme c		Larsen_2007	NTHSEA_HILOW
Contig601	DV566832	"Proteasome (Prosome, macropain) subunit, beta type, 8"		Larsen_2007	NTHSEA_BALTIC
Contig1013	DV566869	Transferrin		Larsen_2007	NTHSEA_BALTIC
Contig1056	DV566873	Synaptotagmin-15		Larsen_2007	NTHSEA_BALTIC
PfIL231H10	DV566875	none		Larsen_2007	NTHSEA_HILOW
PfIL232E11	DV566903	none		Larsen_2007	NTHSEA_BALTIC
PfIL232G03	DV566912	Nucleophosmin 1	intracellular transport;	Larsen_2007	NTHSEA_BALTIC
Contig237	DV566936	none		Larsen_2007	HIGH_LOW_SALINITY
Contig237	DV566936	none		Larsen_2007	NTHSEA_HILOW
Contig905	DV566947	nucleolin		Larsen_2007	NTHSEA_BALTIC
PfIL233F03	DV566949	yellowtail growth hormone like protein-1		Larsen_2007	HIGH_LOW_SALINITY
PfIL233F03	DV566949	yellowtail growth hormone like protein-1		Larsen_2007	NTHSEA_HILOW
Contig134	DV566966	putative complement factor Bf/C2		Larsen_2007	NTHSEA_BALTIC
Contig683	DV566977	60S ribosomal protein L37a	protein biosynthesis; ribosome biogenesis and assembly;	Larsen_2007	NTHSEA_HILOW
PfIL234F05	DV566996	Ceruloplasmin		Larsen_2007	NTHSEA_BALTIC
Contig428	DV566999	cDNA clone PfBAX-o4		Larsen_2007	NTHSEA_BALTIC
Contig202	DV567002	similar to onzin		Larsen_2007	HIGH_LOW_SALINITY
Contig202	DV567002	similar to onzin		Larsen_2007	NTHSEA_HILOW
Contig867	DV567015	60S ribosomal protein L38	protein biosynthesis; ribosome biogenesis and assembly;	Larsen_2007	NTHSEA_HILOW
Contig939	DV567024	cDNA clone SL3-0203 sim to Transferrin receptor		Larsen_2007	NTHSEA_BALTIC
Contig670	DV567036	Ependymin		Larsen_2007	NTHSEA_BALTIC
Contig112	DV567054	beta-2 microglobulin	immune response;	Larsen_2007	NTHSEA_BALTIC
Contig41	DV567055	Lysozyme c		Larsen_2007	NTHSEA_HILOW
Contig694	DV567061	prothrombin precursor	blood coagulation; proteolysis and peptidolysis;	Larsen_2007	HIGH_LOW_SALINITY
Contig694	DV567061	prothrombin precursor	blood coagulation; proteolysis and peptidolysis;	Larsen_2007	NTHSEA_HILOW
Contig16	DV567093	phospholipid hydroperoxide glutathione peroxidase A	phospholipid metabolism; glutathione metabolism; peroxidase reaction; response to oxidative stress;	Larsen_2007	BALTIC_HILOW
Contig925	DV567115	unnamed protein product CAG03272		Larsen_2007	HIGH_LOW_SALINITY
Contig925	DV567115	unnamed protein product CAG03272		Larsen_2007	NTHSEA_HILOW
Contig1039	DV567138	"5'-nucleotidase, cytosolic III"		Larsen_2007	NTHSEA_BALTIC
Contig41	DV567158	Lysozyme c		Larsen_2007	NTHSEA_HILOW
PfIL239C04	DV567188	H+ transporting F1 ATP synthase epsilon subunit	ATP synthesis coupled proton transport;	Larsen_2007	BALTIC_HILOW
Contig925	DV567196	unnamed protein product CAG03272		Larsen_2007	HIGH_LOW_SALINITY
Contig925	DV567196	unnamed protein product CAG03272		Larsen_2007	NTHSEA_HILOW
Contig964	DV567220	Alpha 2HS glycoprotein	cellular process; organismal physiological process; regulation of physiological process;	Larsen_2007	HIGH_LOW_SALINITY
Contig964	DV567220	Alpha 2HS glycoprotein	cellular process; organismal physiological process; regulation of physiological process;	Larsen_2007	NTHSEA_HILOW
Contig112	DV567244	beta-2 microglobulin	immune response;	Larsen_2007	NTHSEA_BALTIC
Contig923	DV567264	cDNA clone HKC069		Larsen_2007	NTHSEA_BALTIC
Contig683	DV567266	60S ribosomal protein L37a	protein biosynthesis; ribosome biogenesis and assembly;	Larsen_2007	NTHSEA_HILOW
Contig1092	DV567277	"Cytochrome c oxidase polypeptide VIII-heart, mitochondrial precursor"		Larsen_2007	NTHSEA_BALTIC
PfIL241E09	DV567296	none		Larsen_2007	NTHSEA_BALTIC
Contig202	DV567307	similar to onzin		Larsen_2007	HIGH_LOW_SALINITY
Contig202	DV567307	similar to onzin		Larsen_2007	NTHSEA_HILOW
Contig694	DV567332	prothrombin precursor	blood coagulation; proteolysis and peptidolysis;	Larsen_2007	HIGH_LOW_SALINITY
Contig694	DV567332	prothrombin precursor	blood coagulation; proteolysis and peptidolysis;	Larsen_2007	NTHSEA_HILOW
Contig619	DV567338	cDNA clone clone WE3-5 sim to PADI-H protein		Larsen_2007	BALTIC_HILOW
Contig134	DV567342	putative complement factor Bf/C2		Larsen_2007	NTHSEA_BALTIC
PfIL242G10	DV567352	MLN64 N-terminal domain homolog	steroid biosynthesis; cholesterol transport;	Larsen_2007	NTHSEA_BALTIC
PfIL243C02	DV567366	EF hand containing family 1A (Smhs2)		Larsen_2007	NTHSEA_HILOW
Contig621	DV567367	Eukaryotic translation elongation factor 2	regulation of translational elongation;	Larsen_2007	NTHSEA_BALTIC
Contig803	DV567391	Cystatin domain fetuin-like protein		Larsen_2007	HIGH_LOW_SALINITY
PfIL244B02	DV567399	none		Larsen_2007	NTHSEA_BALTIC
Contig670	DV567413	Ependymin		Larsen_2007	NTHSEA_BALTIC
PfIL244D06	DV567417	none		Larsen_2007	NTHSEA_HILOW
Contig762	DV567426	ubiquitin	cellular protein metabolism;	Larsen_2007	NTHSEA_HILOW
Contig396	DV567434	complement control protein factor I-B		Larsen_2007	NTHSEA_HILOW
Contig803	DV567443	Cystatin domain fetuin-like protein		Larsen_2007	HIGH_LOW_SALINITY
Contig342	DV567452	Tnfa-induced adipose-related protein		Larsen_2007	NTHSEA_BALTIC
PfIL245D01	DV567453	cDNA clone JFConA371F		Larsen_2007	NTHSEA_HILOW
Contig413	DV567457	MASP protease / haptoglobin	physiological process;	Larsen_2007	NTHSEA_HILOW
Contig307	DV567466	transmembrane emp24 protein transport domain containing 7 (TMED7)		Larsen_2007	NTHSEA_BALTIC
Contig939	DV567468	cDNA clone SL3-0203 sim to Transferrin receptor		Larsen_2007	NTHSEA_BALTIC
Contig413	DV567472	MASP protease / haptoglobin	physiological process;	Larsen_2007	NTHSEA_HILOW
Contig413	DV567475	MASP protease / haptoglobin	physiological process;	Larsen_2007	NTHSEA_HILOW
Contig112	DV567477	beta-2 microglobulin	immune response;	Larsen_2007	NTHSEA_BALTIC
Contig364	DV567482	"Translocon associated protein, gamma subunit"	cotranslational protein-membrane targeting;	Larsen_2007	NTHSEA_BALTIC
PfIL246B09	DV567484	cDNA clone tcbi0024c.p.16 sim to malate dehydrogenase		Larsen_2007	NTHSEA_BALTIC
Contig925	DV567491	unnamed protein product CAG03272		Larsen_2007	HIGH_LOW_SALINITY
Contig925	DV567491	unnamed protein product CAG03272		Larsen_2007	NTHSEA_HILOW
PfIL246D10	DV567494	NOD3 protein; CARD15-like		Larsen_2007	NTHSEA_BALTIC
Contig509	DV567501	NADH Dehydrogenase subunit 1		Larsen_2007	NTHSEA_BALTIC
Contig480	DV567505	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	HIGH_LOW_SALINITY
Contig480	DV567505	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	NTHSEA_HILOW
Contig694	DV567510	prothrombin precursor	blood coagulation; proteolysis and peptidolysis;	Larsen_2007	HIGH_LOW_SALINITY
Contig694	DV567510	prothrombin precursor	blood coagulation; proteolysis and peptidolysis;	Larsen_2007	NTHSEA_HILOW
Contig413	DV567526	MASP protease / haptoglobin	physiological process;	Larsen_2007	NTHSEA_HILOW
Contig953	DV567527	Putative complement factor Bf/C2		Larsen_2007	HIGH_LOW_SALINITY
Contig953	DV567527	Putative complement factor Bf/C2		Larsen_2007	NTHSEA_HILOW
Contig364	DV567528	"Translocon associated protein, gamma subunit"	cotranslational protein-membrane targeting;	Larsen_2007	NTHSEA_BALTIC
Contig41	DV567535	Lysozyme c		Larsen_2007	NTHSEA_HILOW
Contig1013	DV567537	Transferrin		Larsen_2007	NTHSEA_BALTIC
Contig630	DV567539	cDNA clone OD-006		Larsen_2007	NTHSEA_HILOW
Contig167	DV567550	cDNA clone CNB74-B11		Larsen_2007	NTHSEA_BALTIC
