LOCUS	LEFT_LOCUS	RIGHT_LOCUS	LEFT_POS	RIGHT_POS	SUPPORT	INTERVAL_SIZE	LG
78226485	dDocent_Contig_151317	dDocent_Contig_179549	18.85	17.95	gacu,lcal,tnig,onil,dlab,poli	0.900000000000002	19
78225438	dDocent_Contig_10333	dDocent_Contig_182167	45	46.54	lcal,trub,onil,poli	1.54	17
109178543	dDocent_Contig_15153	dDocent_Contig_86268	30.97	30.97	trub,poli	0	1
78226889	dDocent_Contig_57682	dDocent_Contig_83882	7.96	7.96	gacu,lcal	0	16
115382972	dDocent_Contig_344040	dDocent_Contig_6448	19.55	20.05	lcal	0.5	6
118772374	dDocent_Contig_103327	dDocent_Contig_66352	10.33	10.33	poli	0	9
118772449	dDocent_Contig_375567	dDocent_Contig_68790	14.7	14.7	poli	0	10
384405411	dDocent_Contig_16443	dDocent_Contig_31238	50.31	52.87	onil,dlab	2.56	6
11601797	dDocent_Contig_183753	dDocent_Contig_161242	54.58	54.43	dlab	0.149999999999999	1
384405306	dDocent_Contig_40222	dDocent_Contig_4144	35.43	34.6	poli	0.829999999999998	3
384404342	dDocent_Contig_4135	dDocent_Contig_35436	24.19	24.44	dlab	0.25	1
384405273	dDocent_Contig_56126	dDocent_Contig_13812	59.13	59.13	gacu,lcal,onil,dlab,poli	0	22
78229088	dDocent_Contig_86305	dDocent_Contig_29532	30.33	30.02	gacu,lcal,onil,dlab	0.309999999999999	20
384404779	dDocent_Contig_85216	dDocent_Contig_3559	25.19	30.06	trub,onil	4.87	10
78225878	dDocent_Contig_72785	dDocent_Contig_42055	38.37	37.44	poli	0.93	20
384405315	dDocent_Contig_4144	dDocent_Contig_269074	34.6	34.19	lcal	0.410000000000004	3
gi|226049721|dbj|AB459148.1|	dDocent_Contig_360326	dDocent_Contig_39758	65.61	65.61	lcal,poli	0	4
gi|226022789|dbj|AB459000.1|	dDocent_Contig_198003	dDocent_Contig_56128	16.56	16.56	lcal,onil,dlab	0	13
78228170	dDocent_Contig_151317	dDocent_Contig_179549	18.85	17.95	gacu,lcal,tnig,onil,dlab,poli	0.900000000000002	19
384404323	dDocent_Contig_46391	dDocent_Contig_15214	51.02	54.42	poli	3.4	11
78227458	dDocent_Contig_151317	dDocent_Contig_179549	18.85	17.95	gacu,lcal,tnig,onil,dlab,poli	0.900000000000002	19
78228151	dDocent_Contig_19606	dDocent_Contig_118656	0	0	onil	0	24
gi|226069265|dbj|AB459258.1|	dDocent_Contig_379124	dDocent_Contig_34664	12.39	10.53	lcal	1.86	4
118772546	dDocent_Contig_4603	dDocent_Contig_388381	43.05	44.52	gacu,lcal,onil,dlab,poli	1.47000000000001	12
118772370	dDocent_Contig_39270	dDocent_Contig_26852	28.22	30.29	poli	2.07	19
118772564	dDocent_Contig_46095	dDocent_Contig_19238	34.24	33.09	poli	1.15	19
384405721	dDocent_Contig_212830	dDocent_Contig_194468	31.82	30.57	poli	1.25	18
115383008	dDocent_Contig_176482	dDocent_Contig_124590	14.44	15.59	gacu,lcal,tnig,onil,dlab,poli	1.15	7
384405188	dDocent_Contig_52970	dDocent_Contig_28438	40.11	38.74	poli	1.37	9
78226054	dDocent_Contig_57682	dDocent_Contig_83882	7.96	7.96	gacu,lcal,dlab	0	16
384404363	dDocent_Contig_149361	dDocent_Contig_64197	26.83	28.51	onil	1.68	2
109178297	dDocent_Contig_651	dDocent_Contig_7795	13.88	13.88	lcal,trub,tnig,onil,dlab,poli	0	1
384405563	dDocent_Contig_307315	dDocent_Contig_50697	72.57	66.13	dlab	6.44	8
109177727	dDocent_Contig_10333	dDocent_Contig_182167	45	46.54	lcal,trub,onil,poli	1.54	17
109175916	dDocent_Contig_276408	dDocent_Contig_77385	36.2	36.2	gacu,lcal,trub,tnig,poli	0	12
384404308	dDocent_Contig_10881	dDocent_Contig_24578	39.79	39.79	lcal,tnig,onil	0	1
78225417	dDocent_Contig_154408	dDocent_Contig_164687	13.88	13.88	lcal,onil,dlab,poli	0	1
78226065	dDocent_Contig_58288	dDocent_Contig_146886	33.8	33.8	gacu,lcal,trub,onil,dlab,poli	0	16
78230461	dDocent_Contig_153620	dDocent_Contig_59623	9.64999999999999	10.78	lcal,onil,dlab,poli	1.13000000000001	19
384404878	dDocent_Contig_122254	dDocent_Contig_121713	53.79	56.57	onil	2.78	18
gi|226049709|dbj|AB459136.1|	dDocent_Contig_248861	dDocent_Contig_7650	20.72	20.72	poli	0	4
115383058	dDocent_Contig_198003	dDocent_Contig_56128	16.56	16.56	lcal,tnig,onil,dlab	0	13
109178087	dDocent_Contig_182942	dDocent_Contig_3528	40.84	40.3	gacu,lcal,trub,tnig,onil,dlab	0.540000000000006	6
118772333	dDocent_Contig_6644	dDocent_Contig_7736	19.74	21.77	gacu,lcal,dlab,poli	2.03	17
gi|226022807|dbj|AB459018.1|	dDocent_Contig_2987	dDocent_Contig_193822	3.8	3.34	poli	0.46	6
384405715	dDocent_Contig_14368	dDocent_Contig_123429	53.27	50.9	gacu,lcal	2.37	12
384405668	dDocent_Contig_53339	dDocent_Contig_9019	25.22	24.6	lcal,poli	0.619999999999997	4
384405781	dDocent_Contig_161242	dDocent_Contig_34792	54.43	54.43	poli	0	1
384404693	dDocent_Contig_22395	dDocent_Contig_94390	37.15	38.95	onil	1.8	24
78227993	dDocent_Contig_257318	dDocent_Contig_92557	30.94	28.75	gacu,poli	2.19	12
384405064	dDocent_Contig_245481	dDocent_Contig_5786	64.23	65.16	lcal,onil,dlab,poli	0.929999999999993	8
gi|226049609|dbj|AB459036.1|	dDocent_Contig_108428	dDocent_Contig_3479	52.32	53.8	poli	1.48	4
78229347	dDocent_Contig_16160	dDocent_Contig_34954	36.98	36.85	onil	0.129999999999995	16
384405159	dDocent_Contig_103135	dDocent_Contig_20111	0	0	gacu,lcal,onil,poli	0	24
118772671	dDocent_Contig_22346	dDocent_Contig_74477	32.54	32.81	lcal,onil,dlab	0.270000000000003	10
384405255	dDocent_Contig_100222	dDocent_Contig_29349	54.09	53.08	gacu,poli	1.01000000000001	22
gi|205361257|dbj|AB459362.1|	dDocent_Contig_103135	dDocent_Contig_20111	0	0	gacu	0	24
33437853	dDocent_Contig_152786	dDocent_Contig_54366	42.48	41.47	dlab,poli	1.01	3
38196341	dDocent_Contig_152786	dDocent_Contig_54366	42.48	41.47	dlab,poli	1.01	3
384405261	dDocent_Contig_56126	dDocent_Contig_13812	59.13	59.13	gacu,poli	0	22
78229247	dDocent_Contig_5360	dDocent_Contig_19188	45	42.84	lcal,onil	2.16	17
384405678	dDocent_Contig_4522	dDocent_Contig_109945	57.28	57.29	poli	0.00999999999999801	9
115383069	dDocent_Contig_269074	dDocent_Contig_4858	34.19	31.1	lcal,poli	3.09	3
78229670	dDocent_Contig_105948	dDocent_Contig_58288	33.8	33.8	onil	0	16
384404668	dDocent_Contig_5360	dDocent_Contig_19188	45	42.84	lcal	2.16	17
109176837	dDocent_Contig_88685	dDocent_Contig_5587	50.13	52.01	poli	1.88	9
384404576	dDocent_Contig_67109	dDocent_Contig_126711	67.07	66.91	lcal,poli	0.159999999999997	12
118772431	dDocent_Contig_8987	dDocent_Contig_367217	31.82	28.88	tnig	2.94	23
384405476	dDocent_Contig_40899	dDocent_Contig_27644	7.96	7.96	gacu,trub,poli	0	16
78226204	dDocent_Contig_29737	dDocent_Contig_179549	19.29	17.95	gacu,lcal,trub,onil,poli	1.34	19
78227974	dDocent_Contig_13865	dDocent_Contig_72785	39.29	38.37	onil,poli	0.920000000000002	20
gi|226022808|dbj|AB459019.1|	dDocent_Contig_193069	dDocent_Contig_24394	28.3	24.26	trub,onil	4.04	6
384405069	dDocent_Contig_37011	dDocent_Contig_34060	3.62	2.14	lcal	1.48	10
78225474	dDocent_Contig_28647	dDocent_Contig_26733	18.96	20.2	gacu,lcal,trub,tnig,onil,dlab,poli	1.24	2
109178093	dDocent_Contig_66352	dDocent_Contig_145912	10.33	10.33	gacu,dlab	0	9
118772452	dDocent_Contig_160256	dDocent_Contig_56975	24.21	25.2	poli	0.989999999999998	19
78228609	dDocent_Contig_2844	dDocent_Contig_125713	11.48	13.87	lcal	2.39	19
78230018	dDocent_Contig_173	dDocent_Contig_53339	26.77	25.22	gacu,lcal,tnig,onil,dlab	1.55	4
384405705	dDocent_Contig_252480	dDocent_Contig_196865	31.31	33.74	gacu,lcal,onil,poli	2.43	8
78230398	dDocent_Contig_248861	dDocent_Contig_7650	20.72	20.72	tnig,onil,poli	0	4
78228850	dDocent_Contig_63898	dDocent_Contig_207044	5.66	5.66	gacu,poli	0	3
109177396	dDocent_Contig_189129	dDocent_Contig_19889	9.27	9.27	gacu,lcal,tnig,poli	0	15
78229452	dDocent_Contig_30025	dDocent_Contig_5386	56.44	60.19	dlab	3.75	17
118772816	dDocent_Contig_17120	dDocent_Contig_14056	50.66	48.93	lcal,poli	1.73	3
gi|226069285|dbj|AB459278.1|	dDocent_Contig_21841	dDocent_Contig_8979	36.62	35.67	gacu,lcal,onil,dlab	0.949999999999996	14
384404869	dDocent_Contig_166134	dDocent_Contig_73935	71.55	71.55	poli	0	18
118772688	dDocent_Contig_12831	dDocent_Contig_333242	24.62	24.62	poli	0	16
109178028	dDocent_Contig_151317	dDocent_Contig_179549	18.85	17.95	gacu,lcal,tnig,onil,dlab,poli	0.900000000000002	19
384405450	dDocent_Contig_13269	dDocent_Contig_17935	50.47	52.03	lcal	1.56	21
109174819	dDocent_Contig_19606	dDocent_Contig_118656	0	0	onil,poli	0	24
384404388	dDocent_Contig_30705	dDocent_Contig_61954	51.8	39.39	onil	12.41	15
gi|226022806|dbj|AB459017.1|	dDocent_Contig_35440	dDocent_Contig_342473	42.03	42.78	lcal,onil,dlab,poli	0.75	7
384405421	dDocent_Contig_1052	dDocent_Contig_318878	34.85	33.38	lcal,onil,dlab	1.47	6
384405191	dDocent_Contig_52970	dDocent_Contig_28438	40.11	38.74	lcal,poli	1.37	9
gi|12584597|emb|AJ292042.1|	dDocent_Contig_15153	dDocent_Contig_86268	30.97	30.97	lcal,trub,tnig,onil,poli	0	1
78229424	dDocent_Contig_57682	dDocent_Contig_83882	7.96	7.96	gacu,lcal,dlab	0	16
78225381	dDocent_Contig_151317	dDocent_Contig_179549	18.85	17.95	gacu,lcal,tnig,onil,dlab,poli	0.900000000000002	19
384404244	dDocent_Contig_154408	dDocent_Contig_57444	13.88	13.88	gacu,lcal,onil,dlab,poli	0	1
384405330	dDocent_Contig_3969	dDocent_Contig_149539	16.56	16.56	poli	0	13
384404374	dDocent_Contig_262469	dDocent_Contig_38257	55.86	55.86	poli	0	5
gi|226049717|dbj|AB459144.1|	dDocent_Contig_6303	dDocent_Contig_144356	34.35	31.94	poli	2.41	20
384405803	dDocent_Contig_240815	dDocent_Contig_135616	52.13	54.06	lcal,trub	1.93	17
115382980	dDocent_Contig_17190	dDocent_Contig_154959	1.68	8.79	poli	7.11	21
78225468	dDocent_Contig_12674	dDocent_Contig_118320	19.91	20.25	dlab	0.34	10
gi|226049638|dbj|AB459065.1|	dDocent_Contig_17168	dDocent_Contig_14875	50.33	50.33	gacu,onil	0	7
384404740	dDocent_Contig_57288	dDocent_Contig_305441	61.91	59.85	lcal	2.06	10
384404497	dDocent_Contig_1512	dDocent_Contig_155556	13.27	11.33	gacu,dlab	1.94	16
109177342	dDocent_Contig_87984	dDocent_Contig_179549	21.54	17.95	gacu,onil	3.59	19
118772389	dDocent_Contig_1512	dDocent_Contig_155556	13.27	11.33	gacu,dlab,poli	1.94	16
78229773	dDocent_Contig_29737	dDocent_Contig_179549	19.29	17.95	gacu,lcal,trub,onil,poli	1.34	19
5019165	dDocent_Contig_23286	dDocent_Contig_4603	41.02	43.05	poli	2.02999999999999	12
gi|226069277|dbj|AB459270.1|	dDocent_Contig_122254	dDocent_Contig_121713	53.79	56.57	onil	2.78	18
109177864	dDocent_Contig_15153	dDocent_Contig_1291	30.97	30.97	trub,dlab,poli	0	1
78228352	dDocent_Contig_333677	dDocent_Contig_125297	33.15	35.31	lcal,dlab,poli	2.16	9
384405444	dDocent_Contig_307589	dDocent_Contig_235337	0	1.86	gacu	1.86	1
gi|226022795|dbj|AB459006.1|	dDocent_Contig_8489	dDocent_Contig_400071	4.05	5.12	poli	1.07	17
164449169	dDocent_Contig_143124	dDocent_Contig_72601	70.56	68.95	poli	1.61	6
384405657	dDocent_Contig_220734	dDocent_Contig_9648	2.39	0	poli	2.39	8
384404297	dDocent_Contig_197038	dDocent_Contig_147380	57.39	57.77	poli	0.380000000000003	1
118772434	dDocent_Contig_62487	dDocent_Contig_144226	59.13	59.13	lcal,poli	0	22
384404789	dDocent_Contig_21319	dDocent_Contig_172285	20.59	23.27	dlab	2.68	10
109175524	dDocent_Contig_233802	dDocent_Contig_188003	70.79	69.54	poli	1.25	12
118772635	dDocent_Contig_4140	dDocent_Contig_85692	3.77999999999999	3.77999999999999	poli	0	19
78226870	dDocent_Contig_193333	dDocent_Contig_129880	25.18	24.95	gacu,lcal,onil,dlab	0.23	2
384404526	dDocent_Contig_346936	dDocent_Contig_1512	13.27	13.27	gacu,lcal,onil,dlab,poli	0	16
78228302	dDocent_Contig_57682	dDocent_Contig_83882	7.96	7.96	gacu,lcal,dlab	0	16
109175177	dDocent_Contig_57353	dDocent_Contig_36101	47.63	47.85	gacu,lcal,trub,tnig,onil,dlab,poli	0.219999999999999	19
78226351	dDocent_Contig_21388	dDocent_Contig_21407	10.23	5.88	dlab	4.35	2
gi|226022770|dbj|AB458981.1|	dDocent_Contig_133371	dDocent_Contig_84423	25.12	24.26	lcal	0.859999999999999	6
384405334	dDocent_Contig_10816	dDocent_Contig_27373	40.83	40.58	dlab	0.25	13
gi|226049634|dbj|AB459061.1|	dDocent_Contig_122871	dDocent_Contig_66601	10.5	10	gacu	0.5	7
82856133	dDocent_Contig_85444	dDocent_Contig_86520	38.68	41.16	onil	2.48	8
118772736	dDocent_Contig_35934	dDocent_Contig_6993	31.6	31.6	lcal,onil,dlab,poli	0	23
gi|226049718|dbj|AB459145.1|	dDocent_Contig_23502	dDocent_Contig_99997	36.55	33.45	lcal,dlab	3.09999999999999	4
384404390	dDocent_Contig_57353	dDocent_Contig_36101	47.63	47.85	tnig,onil,dlab	0.219999999999999	19
384405423	dDocent_Contig_23746	dDocent_Contig_187402	38.89	37.28	lcal,onil	1.61	6
384404925	dDocent_Contig_134963	dDocent_Contig_212866	23.42	28.94	dlab	5.52	18
157734165	dDocent_Contig_16160	dDocent_Contig_34954	36.98	36.85	onil	0.129999999999995	16
gi|205361267|dbj|AB459372.1|	dDocent_Contig_165136	dDocent_Contig_159109	28.89	25.88	trub	3.01	13
118772358	dDocent_Contig_28742	dDocent_Contig_49245	56.1	56.41	lcal,poli	0.309999999999995	22
109177806	dDocent_Contig_75804	dDocent_Contig_84428	30.65	31.31	poli	0.66	8
384404259	dDocent_Contig_293474	dDocent_Contig_15153	27.92	30.97	poli	3.05	1
384405019	dDocent_Contig_4651	dDocent_Contig_6648	10.88	14.45	lcal,trub,tnig	3.57	5
384404503	dDocent_Contig_1512	dDocent_Contig_155556	13.27	11.33	gacu,dlab	1.94	16
gi|12083701|dbj|AB046745.1|	dDocent_Contig_268904	dDocent_Contig_17277	21.64	21.65	gacu,lcal,onil,dlab,poli	0.00999999999999801	20
gi|226022690|dbj|AB458901.1|	dDocent_Contig_729	dDocent_Contig_180392	6.54	7.78	poli	1.24	5
78225774	dDocent_Contig_57682	dDocent_Contig_83882	7.96	7.96	gacu,lcal	0	16
384404465	dDocent_Contig_33715	dDocent_Contig_27435	56.75	55.27	poli	1.48	4
109175907	dDocent_Contig_20683	dDocent_Contig_4899	16.85	18.42	dlab	1.57	9
78230078	dDocent_Contig_57353	dDocent_Contig_36101	47.63	47.85	gacu,tnig,onil	0.219999999999999	19
109178781	dDocent_Contig_90958	dDocent_Contig_165225	54.58	69.38	gacu	14.8	18
5019035	dDocent_Contig_13302	dDocent_Contig_31001	47.65	22.21	tnig	25.44	15
78227040	dDocent_Contig_57682	dDocent_Contig_83882	7.96	7.96	gacu,lcal	0	16
78229209	dDocent_Contig_151317	dDocent_Contig_179549	18.85	17.95	gacu,lcal,tnig,onil,dlab,poli	0.900000000000002	19
78230215	dDocent_Contig_25548	dDocent_Contig_134968	31.06	31.06	poli	0	16
gi|226049649|dbj|AB459076.1|	dDocent_Contig_54103	dDocent_Contig_1397	7.71	8.78	poli	1.07	24
38196339	dDocent_Contig_173	dDocent_Contig_53339	26.77	25.22	gacu,lcal,tnig,onil,dlab	1.55	4
78230272	dDocent_Contig_90559	dDocent_Contig_172285	29.07	23.27	trub	5.8	10
gi|12083709|dbj|AB046753.1|	dDocent_Contig_124590	dDocent_Contig_224986	15.59	15.52	tnig	0.0700000000000003	7
384404596	dDocent_Contig_267640	dDocent_Contig_113893	52.99	52.99	lcal	0	7
113196926	dDocent_Contig_6141	dDocent_Contig_243491	37.23	37.23	lcal	0	15
109178342	dDocent_Contig_189129	dDocent_Contig_19889	9.27	9.27	gacu,lcal,tnig,poli	0	15
384405179	dDocent_Contig_101640	dDocent_Contig_32622	18.42	16.72	gacu,dlab	1.7	9
gi|205361336|dbj|AB459441.1|	dDocent_Contig_56759	dDocent_Contig_327	49.16	47.04	poli	2.12	13
384404256	dDocent_Contig_52162	dDocent_Contig_33316	15.8	14.56	trub,tnig,onil	1.24	1
109177516	dDocent_Contig_269074	dDocent_Contig_4858	34.19	31.1	gacu,lcal,onil,dlab,poli	3.09	3
118772793	dDocent_Contig_319646	dDocent_Contig_2268	18.73	18.4	gacu,lcal,onil,dlab	0.330000000000002	1
384405241	dDocent_Contig_49245	dDocent_Contig_28742	56.41	56.1	poli	0.309999999999995	22
384405766	dDocent_Contig_52549	dDocent_Contig_288916	37.13	37.13	lcal,dlab	0	20
118772700	dDocent_Contig_69792	dDocent_Contig_100040	49.89	42.78	trub	7.11	11
384405323	dDocent_Contig_117548	dDocent_Contig_123863	23.44	25.53	gacu	2.09	3
384404766	dDocent_Contig_51099	dDocent_Contig_9392	43.81	48.4	poli	4.59	10
gi|6970356|dbj|AB037993.1|	dDocent_Contig_19203	dDocent_Contig_8704	8.44	13.38	onil	4.94	17
78230157	dDocent_Contig_102544	dDocent_Contig_187802	13.06	10.72	gacu,lcal	2.34	18
157734161	dDocent_Contig_18636	dDocent_Contig_72018	26.62	27.28	gacu,trub,onil,dlab	0.66	5
gi|226022712|dbj|AB458923.1|	dDocent_Contig_25536	dDocent_Contig_79882	38	38.16	lcal,onil,dlab,poli	0.159999999999997	22
78228061	dDocent_Contig_349127	dDocent_Contig_3156	6.59	6.59	gacu,lcal,tnig,onil,dlab,poli	0	7
gi|226049646|dbj|AB459073.1|	dDocent_Contig_223192	dDocent_Contig_120494	26.94	28.97	gacu,lcal,trub,dlab,poli	2.03	9
78225477	dDocent_Contig_11296	dDocent_Contig_95424	29.74	31.33	lcal,trub,dlab,poli	1.59	9
384404652	dDocent_Contig_5360	dDocent_Contig_19188	45	42.84	lcal,trub	2.16	17
384405491	dDocent_Contig_312942	dDocent_Contig_360820	10.92	10.3	poli	0.619999999999999	20
gi|226049756|dbj|AB459183.1|	dDocent_Contig_122239	dDocent_Contig_95748	22.02	18.54	poli	3.48	12
384404882	dDocent_Contig_200778	dDocent_Contig_165225	71.39	69.38	onil	2.01000000000001	18
115383070	dDocent_Contig_46095	dDocent_Contig_14676	34.24	35.01	lcal,dlab	0.769999999999996	19
109175080	dDocent_Contig_190056	dDocent_Contig_2583	44.22	44.61	lcal,tnig,dlab,poli	0.390000000000001	11
78230296	dDocent_Contig_35440	dDocent_Contig_326641	42.03	40.62	tnig,onil	1.41	7
115382969	dDocent_Contig_29371	dDocent_Contig_79954	58.18	58.03	poli	0.149999999999999	23
384404804	dDocent_Contig_88256	dDocent_Contig_13350	6.46	11.28	onil,dlab	4.82	10
384404810	dDocent_Contig_25202	dDocent_Contig_221136	63.6	58.67	onil,dlab	4.93	5
109176151	dDocent_Contig_103135	dDocent_Contig_20111	0	0	gacu,trub,tnig	0	24
78229783	dDocent_Contig_29737	dDocent_Contig_179549	19.29	17.95	gacu,lcal,onil,poli	1.34	19
384404989	dDocent_Contig_9310	dDocent_Contig_146769	22.79	24.6	gacu	1.81	14
384404795	dDocent_Contig_12674	dDocent_Contig_118320	19.91	20.25	dlab	0.34	10
109178203	dDocent_Contig_152786	dDocent_Contig_54366	42.48	41.47	dlab,poli	1.01	3
384404801	dDocent_Contig_2154	dDocent_Contig_9013	12.64	11.59	poli	1.05	10
109177408	dDocent_Contig_152786	dDocent_Contig_54366	42.48	41.47	dlab,poli	1.01	3
118772492	dDocent_Contig_60230	dDocent_Contig_355276	26.33	24.52	lcal,onil,dlab,poli	1.81	23
384405751	dDocent_Contig_91457	dDocent_Contig_82625	30.92	30.37	lcal,dlab,poli	0.550000000000001	2
384405749	dDocent_Contig_52143	dDocent_Contig_53396	28.59	27.87	tnig	0.719999999999999	16
gi|226049707|dbj|AB459134.1|	dDocent_Contig_5747	dDocent_Contig_91218	25.35	24.55	lcal,poli	0.800000000000001	19
384404934	dDocent_Contig_17862	dDocent_Contig_37096	44.58	44.58	lcal,poli	0	23
384405177	dDocent_Contig_3588	dDocent_Contig_66352	9.83	10.33	dlab	0.5	9
gi|226069263|dbj|AB459256.1|	dDocent_Contig_31290	dDocent_Contig_255823	28.86	25.25	onil	3.61	11
384404333	dDocent_Contig_74363	dDocent_Contig_116082	41.75	33.37	onil	8.38	11
78227955	dDocent_Contig_151317	dDocent_Contig_179549	18.85	17.95	gacu,lcal,tnig,onil,dlab,poli	0.900000000000002	19
gi|226022785|dbj|AB458996.1|	dDocent_Contig_27644	dDocent_Contig_118495	7.96	9.63	lcal	1.67	16
109176531	dDocent_Contig_237447	dDocent_Contig_110926	45.96	45.96	poli	0	8
115383105	dDocent_Contig_16443	dDocent_Contig_31238	50.31	52.87	onil,dlab	2.56	6
gi|226049763|dbj|AB459190.1|	dDocent_Contig_381695	dDocent_Contig_172625	44.75	48.29	poli	3.54	4
gi|226049615|dbj|AB459042.1|	dDocent_Contig_23286	dDocent_Contig_4603	41.02	43.05	lcal,poli	2.02999999999999	12
109176419	dDocent_Contig_90559	dDocent_Contig_172285	29.07	23.27	trub	5.8	10
